AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
IAD,Washington Dulles International Airport,156,0,0,0,0,0,0,2,5,4,1,2024-05-18,12,0000 - 0100,2024-08-05 10:22:40,11,2,116,11,A541,International A,160,1,44,11
IAD,Washington Dulles International Airport,148,0,0,0,0,0,0,3,5,5,1,2024-05-18,2,0200 - 0300,2024-08-05 10:22:40,13,3,96,13,A541,International A,153,3,57,13
IAD,Washington Dulles International Airport,300,0,0,0,0,0,0,1,6,7,2,2024-05-18,3,0400 - 0500,2024-08-05 10:22:40,9,1,210,9,A541,International A,307,1,97,8
IAD,Washington Dulles International Airport,190,0,73,102,37,117,22,35,9,15,2,2024-05-18,95,0500 - 0600,2024-08-05 10:22:40,105,45,244,105,A541,International A,556,27,312,104
IAD,Washington Dulles International Airport,101,0,45,76,93,27,0,32,7,11,4,2024-05-18,36,0600 - 0700,2024-08-05 10:22:40,69,43,195,69,A541,International A,353,18,158,56
IAD,Washington Dulles International Airport,59,0,39,120,9,0,0,26,12,7,1,2024-05-18,6,0700 - 0800,2024-08-05 10:22:40,53,30,187,53,A541,International A,234,12,47,44
IAD,Washington Dulles International Airport,217,0,79,42,8,10,0,15,19,11,1,2024-05-18,10,0800 - 0900,2024-08-05 10:22:40,87,18,207,83,A541,International A,367,10,160,87
IAD,Washington Dulles International Airport,503,0,114,105,42,37,7,16,19,23,2,2024-05-18,74,0900 - 1000,2024-08-05 10:22:40,92,25,471,92,A541,International A,831,6,360,88
IAD,Washington Dulles International Airport,445,0,5,0,0,0,0,3,10,11,2,2024-05-18,51,1000 - 1100,2024-08-05 10:22:40,16,4,293,16,A541,International A,461,1,168,15
IAD,Washington Dulles International Airport,150,0,0,0,0,0,0,1,9,5,1,2024-05-18,0,1200 - 1300,2024-08-05 10:22:40,12,2,97,12,A541,International A,155,0,58,6
IAD,Washington Dulles International Airport,751,0,134,119,16,0,0,9,21,33,7,2024-05-18,179,1300 - 1400,2024-08-05 10:22:40,57,14,503,57,A541,International A,1053,5,550,53
IAD,Washington Dulles International Airport,1062,0,169,25,0,0,0,5,21,46,9,2024-05-18,295,1400 - 1500,2024-08-05 10:22:40,45,8,443,33,A541,International A,1302,3,859,45
IAD,Washington Dulles International Airport,1519,0,287,197,117,368,185,26,21,90,16,2024-05-18,463,1500 - 1600,2024-08-05 10:22:40,118,49,1282,118,A541,International A,2763,7,1481,116
IAD,Washington Dulles International Airport,352,0,199,31,10,229,22,33,18,28,4,2024-05-18,121,1600 - 1700,2024-08-05 10:22:40,97,60,397,96,A541,International A,871,11,474,97
IAD,Washington Dulles International Airport,73,0,60,0,19,0,0,18,11,8,1,2024-05-18,16,1700 - 1800,2024-08-05 10:22:40,56,37,35,56,A541,International A,160,13,125,27
IAD,Washington Dulles International Airport,503,0,88,0,0,0,0,5,12,15,4,2024-05-18,142,1800 - 1900,2024-08-05 10:22:40,29,10,181,29,A541,International A,606,3,425,29
IAD,Washington Dulles International Airport,887,0,114,72,29,15,196,22,16,43,7,2024-05-18,291,1900 - 2000,2024-08-05 10:22:40,117,56,479,117,A541,International A,1356,5,877,116
IAD,Washington Dulles International Airport,602,0,305,297,60,166,0,25,15,44,8,2024-05-18,254,2000 - 2100,2024-08-05 10:22:40,87,48,381,87,A541,International A,1474,17,1093,64
IAD,Washington Dulles International Airport,89,0,0,0,0,0,0,4,8,3,1,2024-05-18,14,2100 - 2200,2024-08-05 10:22:40,11,3,8,6,A541,International A,92,4,84,11
IAD,Washington Dulles International Airport,142,0,72,133,136,2,0,30,5,12,3,2024-05-18,42,0600 - 0700,2024-08-05 10:22:40,64,37,233,64,A542,Satellite C,497,23,264,60
IAD,Washington Dulles International Airport,38,0,20,88,65,11,0,37,7,8,4,2024-05-18,20,1300 - 1400,2024-08-05 10:22:40,77,42,122,77,A542,Satellite C,230,31,108,50
IAD,Washington Dulles International Airport,203,0,119,96,189,133,0,36,8,24,7,2024-05-18,144,1400 - 1500,2024-08-05 10:22:40,79,54,207,79,A542,Satellite C,764,30,557,78
IAD,Washington Dulles International Airport,274,0,142,323,92,129,0,31,8,29,10,2024-05-18,192,1500 - 1600,2024-08-05 10:22:40,80,51,336,80,A542,Satellite C,989,22,653,69
