AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
ORD,Chicago O'Hare International Airport,153,0,205,121,84,19,0,28,5,20,4,2024-05-09,22,0000 - 0100,2024-08-05 10:22:32,81,28,365,81,A392,Terminal 5,602,27,237,81
ORD,Chicago O'Hare International Airport,143,0,10,0,0,0,0,9,5,4,1,2024-05-09,1,0100 - 0200,2024-08-05 10:22:32,24,9,83,24,A392,Terminal 5,157,8,74,24
ORD,Chicago O'Hare International Airport,101,0,0,0,0,0,0,3,5,4,1,2024-05-09,0,0200 - 0300,2024-08-05 10:22:32,9,3,57,9,A392,Terminal 5,105,3,48,9
ORD,Chicago O'Hare International Airport,71,0,64,0,0,0,0,14,4,2,1,2024-05-09,2,0400 - 0500,2024-08-05 10:22:32,27,13,115,27,A392,Terminal 5,137,16,22,27
ORD,Chicago O'Hare International Airport,78,0,63,0,0,0,0,13,4,7,1,2024-05-09,2,0500 - 0600,2024-08-05 10:22:32,27,14,121,27,A392,Terminal 5,148,9,27,27
ORD,Chicago O'Hare International Airport,118,0,67,148,146,51,0,36,13,17,2,2024-05-09,30,0600 - 0700,2024-08-05 10:22:32,88,38,444,88,A392,Terminal 5,547,25,103,88
ORD,Chicago O'Hare International Airport,262,0,227,149,79,75,0,28,13,32,3,2024-05-09,22,0800 - 0900,2024-08-05 10:22:32,86,31,625,86,A392,Terminal 5,824,18,199,85
ORD,Chicago O'Hare International Airport,36,0,12,63,150,219,0,56,12,15,2,2024-05-09,31,0900 - 1000,2024-08-05 10:22:32,89,59,336,89,A392,Terminal 5,495,49,159,89
ORD,Chicago O'Hare International Airport,103,0,136,214,189,17,0,34,12,15,3,2024-05-09,67,1000 - 1100,2024-08-05 10:22:32,65,38,328,65,A392,Terminal 5,674,31,346,65
ORD,Chicago O'Hare International Airport,635,0,141,20,0,0,0,9,20,20,5,2024-05-09,151,1200 - 1300,2024-08-05 10:22:32,35,13,312,35,A392,Terminal 5,816,7,504,33
