AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
PHL,Philadelphia International Airport,408,0,226,0,0,0,0,12,9,17,3,2024-05-18,139,1200 - 1300,2024-08-05 10:22:40,27,15,177,27,A111,Terminal A,651,10,474,26
PHL,Philadelphia International Airport,444,0,8,0,0,0,0,5,13,11,2,2024-05-18,118,1300 - 1400,2024-08-05 10:22:40,21,7,40,19,A111,Terminal A,463,5,423,21
PHL,Philadelphia International Airport,655,0,82,2,0,0,0,7,15,18,3,2024-05-18,115,1400 - 1500,2024-08-05 10:22:40,33,10,265,33,A111,Terminal A,757,5,492,27
PHL,Philadelphia International Airport,1046,0,60,0,0,0,0,6,15,29,5,2024-05-18,182,1500 - 1600,2024-08-05 10:22:40,22,7,212,20,A111,Terminal A,1135,6,923,22
PHL,Philadelphia International Airport,1039,0,39,0,0,0,0,6,13,29,5,2024-05-18,138,1600 - 1700,2024-08-05 10:22:40,21,7,167,20,A111,Terminal A,1107,5,940,21
PHL,Philadelphia International Airport,382,0,149,0,0,0,0,10,13,14,3,2024-05-18,40,1700 - 1800,2024-08-05 10:22:40,25,9,59,24,A111,Terminal A,545,10,486,25
PHL,Philadelphia International Airport,261,0,201,52,0,0,0,15,7,8,3,2024-05-18,63,1800 - 1900,2024-08-05 10:22:40,37,17,35,36,A111,Terminal A,522,15,487,37
PHL,Philadelphia International Airport,300,0,60,0,0,0,0,10,7,5,2,2024-05-18,39,1900 - 2000,2024-08-05 10:22:40,19,11,16,17,A111,Terminal A,365,10,349,19
PHL,Philadelphia International Airport,98,0,61,0,0,0,0,12,6,9,1,2024-05-18,5,2000 - 2100,2024-08-05 10:22:40,22,13,47,22,A111,Terminal A,168,11,121,22
PHL,Philadelphia International Airport,292,0,105,0,0,0,0,10,8,11,2,2024-05-19,124,1200 - 1300,2024-08-05 10:22:40,26,13,37,25,A111,Terminal A,408,10,371,26
PHL,Philadelphia International Airport,571,0,0,0,0,0,0,5,13,12,3,2024-05-19,128,1300 - 1400,2024-08-05 10:22:40,13,6,70,13,A111,Terminal A,583,5,513,13
PHL,Philadelphia International Airport,1005,0,125,0,0,0,0,7,19,31,5,2024-05-19,198,1400 - 1500,2024-08-05 10:22:40,28,11,262,27,A111,Terminal A,1161,6,899,28
PHL,Philadelphia International Airport,1052,0,14,0,0,0,0,5,18,38,5,2024-05-19,208,1500 - 1600,2024-08-05 10:22:40,17,6,183,17,A111,Terminal A,1104,5,921,17
PHL,Philadelphia International Airport,738,0,25,0,0,0,0,5,18,20,3,2024-05-19,145,1600 - 1700,2024-08-05 10:22:40,24,5,105,18,A111,Terminal A,783,6,678,24
PHL,Philadelphia International Airport,148,0,41,0,0,0,0,9,9,4,1,2024-05-19,11,1700 - 1800,2024-08-05 10:22:40,19,2,1,2,A111,Terminal A,193,9,192,19
PHL,Philadelphia International Airport,362,0,9,0,0,0,0,4,11,10,2,2024-05-19,48,1800 - 1900,2024-08-05 10:22:40,16,5,15,13,A111,Terminal A,381,4,366,16
PHL,Philadelphia International Airport,682,0,35,0,0,0,0,5,11,19,4,2024-05-19,72,1900 - 2000,2024-08-05 10:22:40,19,6,36,18,A111,Terminal A,736,5,700,19
