AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
PHX,Phoenix Sky Harbor International Airport,115,0,0,0,0,0,0,2,4,1,2,2024-05-18,7,0800 - 0900,2024-08-05 10:22:40,10,3,81,10,A263,Main,116,1,35,9
PHX,Phoenix Sky Harbor International Airport,103,0,54,0,0,0,0,11,5,2,1,2024-05-18,1,1000 - 1100,2024-08-05 10:22:40,28,13,91,28,A263,Main,159,8,68,28
PHX,Phoenix Sky Harbor International Airport,387,0,215,0,0,0,0,10,8,10,5,2024-05-18,112,1300 - 1400,2024-08-05 10:22:40,30,10,136,30,A263,Main,612,10,476,30
PHX,Phoenix Sky Harbor International Airport,165,0,0,0,0,0,0,2,7,3,1,2024-05-18,20,1400 - 1500,2024-08-05 10:22:40,6,2,4,3,A263,Main,168,2,164,6
PHX,Phoenix Sky Harbor International Airport,361,0,8,0,0,0,0,3,7,13,3,2024-05-18,54,1500 - 1600,2024-08-05 10:22:40,17,3,59,17,A263,Main,382,3,323,17
PHX,Phoenix Sky Harbor International Airport,286,0,5,0,0,0,0,2,8,5,2,2024-05-18,28,1600 - 1700,2024-08-05 10:22:40,21,3,29,21,A263,Main,296,2,267,17
PHX,Phoenix Sky Harbor International Airport,513,0,44,0,0,0,0,5,9,17,3,2024-05-18,83,1700 - 1800,2024-08-05 10:22:40,23,10,195,23,A263,Main,574,2,379,23
PHX,Phoenix Sky Harbor International Airport,480,0,0,0,0,0,0,3,8,10,3,2024-05-18,69,1800 - 1900,2024-08-05 10:22:40,14,5,10,11,A263,Main,490,3,480,14
PHX,Phoenix Sky Harbor International Airport,253,0,97,31,0,0,0,11,9,8,2,2024-05-18,31,1900 - 2000,2024-08-05 10:22:40,34,18,181,34,A263,Main,389,5,208,31
PHX,Phoenix Sky Harbor International Airport,101,0,0,0,0,0,0,3,4,5,2,2024-05-19,5,0800 - 0900,2024-08-05 10:22:40,9,3,55,9,A263,Main,106,2,51,8
PHX,Phoenix Sky Harbor International Airport,107,0,12,0,0,0,0,6,4,1,1,2024-05-19,2,0900 - 1000,2024-08-05 10:22:40,19,8,56,19,A263,Main,120,5,64,17
PHX,Phoenix Sky Harbor International Airport,114,0,37,0,0,0,0,8,5,5,1,2024-05-19,1,1100 - 1200,2024-08-05 10:22:40,20,8,83,20,A263,Main,156,7,73,20
PHX,Phoenix Sky Harbor International Airport,627,0,177,9,0,0,0,7,7,21,6,2024-05-19,164,1300 - 1400,2024-08-05 10:22:40,32,7,123,21,A263,Main,834,7,711,32
PHX,Phoenix Sky Harbor International Airport,133,0,0,0,0,0,0,2,5,2,1,2024-05-19,29,1400 - 1500,2024-08-05 10:22:40,6,1,3,3,A263,Main,135,2,132,6
PHX,Phoenix Sky Harbor International Airport,571,0,0,0,0,0,0,4,8,10,4,2024-05-19,86,1500 - 1600,2024-08-05 10:22:40,15,2,44,11,A263,Main,581,4,537,15
PHX,Phoenix Sky Harbor International Airport,140,0,0,0,0,0,0,4,7,1,1,2024-05-19,17,1600 - 1700,2024-08-05 10:22:40,10,0,1,0,A263,Main,141,4,140,10
PHX,Phoenix Sky Harbor International Airport,391,0,74,0,0,0,0,8,8,10,2,2024-05-19,87,1700 - 1800,2024-08-05 10:22:40,23,6,130,21,A263,Main,475,8,345,23
PHX,Phoenix Sky Harbor International Airport,352,0,0,0,0,0,0,3,8,5,2,2024-05-19,39,1800 - 1900,2024-08-05 10:22:40,11,2,18,8,A263,Main,357,3,339,11
PHX,Phoenix Sky Harbor International Airport,134,0,0,0,0,0,0,4,7,4,1,2024-05-19,26,1900 - 2000,2024-08-05 10:22:40,9,5,5,9,A263,Main,138,4,133,9
PHX,Phoenix Sky Harbor International Airport,117,0,0,0,0,0,0,3,4,1,2,2024-05-20,6,0800 - 0900,2024-08-05 10:22:40,11,4,60,11,A263,Main,118,2,58,9
PHX,Phoenix Sky Harbor International Airport,151,0,13,0,0,0,0,5,4,4,1,2024-05-20,3,1000 - 1100,2024-08-05 10:22:40,19,6,82,19,A263,Main,168,4,86,15
PHX,Phoenix Sky Harbor International Airport,275,0,129,0,0,0,0,9,6,4,4,2024-05-20,50,1300 - 1400,2024-08-05 10:22:40,25,9,116,21,A263,Main,408,9,292,25
PHX,Phoenix Sky Harbor International Airport,489,0,29,0,0,0,0,5,8,15,3,2024-05-20,83,1400 - 1500,2024-08-05 10:22:40,17,4,21,14,A263,Main,533,5,512,17
PHX,Phoenix Sky Harbor International Airport,487,0,88,0,0,0,0,7,8,17,4,2024-05-20,69,1500 - 1600,2024-08-05 10:22:40,19,3,47,16,A263,Main,592,7,545,19
PHX,Phoenix Sky Harbor International Airport,134,0,0,0,0,0,0,5,8,8,1,2024-05-20,21,1600 - 1700,2024-08-05 10:22:40,10,4,4,10,A263,Main,142,5,138,10
PHX,Phoenix Sky Harbor International Airport,395,0,118,0,0,0,0,9,8,25,3,2024-05-20,64,1700 - 1800,2024-08-05 10:22:40,26,12,218,26,A263,Main,538,8,320,21
PHX,Phoenix Sky Harbor International Airport,257,0,95,0,0,0,0,10,7,14,2,2024-05-20,36,1800 - 1900,2024-08-05 10:22:40,22,8,33,16,A263,Main,366,10,333,22
PHX,Phoenix Sky Harbor International Airport,141,0,0,0,0,0,0,6,6,3,1,2024-05-20,22,1900 - 2000,2024-08-05 10:22:40,11,5,4,8,A263,Main,144,6,140,11
PHX,Phoenix Sky Harbor International Airport,89,0,34,0,0,0,0,9,4,1,2,2024-05-21,13,0800 - 0900,2024-08-05 10:22:40,22,11,71,22,A263,Main,124,8,53,18
PHX,Phoenix Sky Harbor International Airport,112,0,41,0,0,0,0,9,7,2,1,2024-05-21,2,1100 - 1200,2024-08-05 10:22:40,24,12,91,24,A263,Main,155,5,64,22
PHX,Phoenix Sky Harbor International Airport,502,0,12,0,0,0,0,4,9,13,4,2024-05-21,79,1300 - 1400,2024-08-05 10:22:40,17,6,134,17,A263,Main,527,4,393,17
PHX,Phoenix Sky Harbor International Airport,550,0,94,0,0,0,0,7,8,12,5,2024-05-21,76,1500 - 1600,2024-08-05 10:22:40,28,5,40,23,A263,Main,656,7,616,28
PHX,Phoenix Sky Harbor International Airport,261,0,0,0,0,0,0,1,8,6,2,2024-05-21,39,1600 - 1700,2024-08-05 10:22:40,8,2,8,8,A263,Main,267,1,259,8
PHX,Phoenix Sky Harbor International Airport,408,0,10,0,0,0,0,4,9,13,2,2024-05-21,75,1700 - 1800,2024-08-05 10:22:40,16,5,127,16,A263,Main,431,4,304,16
