AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
SFO,San Francisco International Airport,130,0,144,86,0,0,0,20,9,11,2,2024-05-18,15,0800 - 0900,2024-08-05 10:22:40,43,23,286,43,A286,Terminal A,371,14,85,39
SFO,San Francisco International Airport,162,0,62,0,0,0,0,10,9,8,1,2024-05-18,29,0900 - 1000,2024-08-05 10:22:40,22,11,116,22,A286,Terminal A,232,10,116,22
SFO,San Francisco International Airport,109,0,68,0,0,0,0,14,9,2,1,2024-05-18,6,1000 - 1100,2024-08-05 10:22:40,27,15,124,27,A286,Terminal A,179,11,55,24
SFO,San Francisco International Airport,318,0,371,153,23,0,0,21,19,22,4,2024-05-18,79,1100 - 1200,2024-08-05 10:22:40,49,25,483,49,A286,Terminal A,887,15,404,37
SFO,San Francisco International Airport,180,0,195,59,0,0,0,19,20,14,2,2024-05-18,36,1200 - 1300,2024-08-05 10:22:40,36,22,256,36,A286,Terminal A,448,15,192,35
SFO,San Francisco International Airport,306,0,387,209,206,514,6,42,22,55,5,2024-05-18,151,1300 - 1400,2024-08-05 10:22:40,92,47,1052,92,A286,Terminal A,1683,34,631,91
SFO,San Francisco International Airport,78,0,92,51,121,636,56,62,23,37,5,2024-05-18,118,1400 - 1500,2024-08-05 10:22:40,98,73,477,98,A286,Terminal A,1071,54,594,96
SFO,San Francisco International Airport,10,0,51,119,77,9,0,38,19,9,1,2024-05-18,38,1500 - 1600,2024-08-05 10:22:40,62,49,119,62,A286,Terminal A,275,30,156,47
SFO,San Francisco International Airport,351,0,465,154,0,0,0,19,14,24,4,2024-05-18,91,1600 - 1700,2024-08-05 10:22:40,42,21,384,42,A286,Terminal A,994,18,610,41
SFO,San Francisco International Airport,205,0,247,128,0,0,0,20,17,13,3,2024-05-18,96,1700 - 1800,2024-08-05 10:22:40,36,23,262,36,A286,Terminal A,593,18,331,36
SFO,San Francisco International Airport,328,0,140,51,0,0,0,13,21,13,2,2024-05-18,35,1800 - 1900,2024-08-05 10:22:40,40,18,198,40,A286,Terminal A,532,11,334,36
SFO,San Francisco International Airport,359,0,417,334,0,0,0,22,22,38,4,2024-05-18,80,1900 - 2000,2024-08-05 10:22:40,44,26,767,44,A286,Terminal A,1148,16,381,44
SFO,San Francisco International Airport,282,0,421,158,91,17,0,24,20,38,4,2024-05-18,80,2000 - 2100,2024-08-05 10:22:40,70,32,464,70,A286,Terminal A,1007,18,543,61
SFO,San Francisco International Airport,143,0,348,170,128,0,0,28,14,21,4,2024-05-18,50,2100 - 2200,2024-08-05 10:22:40,59,33,240,56,A286,Terminal A,810,26,570,59
SFO,San Francisco International Airport,246,0,152,137,24,0,0,21,15,29,3,2024-05-18,53,2200 - 2300,2024-08-05 10:22:40,54,27,335,54,A286,Terminal A,588,13,253,50
SFO,San Francisco International Airport,252,0,53,0,0,0,0,9,9,18,2,2024-05-18,13,2300 - 0000,2024-08-05 10:22:40,27,10,150,27,A286,Terminal A,323,8,173,21
SFO,San Francisco International Airport,632,0,400,234,29,0,0,17,19,42,5,2024-05-18,216,0600 - 0700,2024-08-05 10:22:40,51,25,597,51,A281,Terminal G,1337,10,740,50
SFO,San Francisco International Airport,337,0,213,59,78,46,0,22,20,22,3,2024-05-18,95,0700 - 0800,2024-08-05 10:22:40,81,31,422,81,A281,Terminal G,755,12,333,76
SFO,San Francisco International Airport,126,0,121,84,82,60,0,33,17,15,2,2024-05-18,88,0800 - 0900,2024-08-05 10:22:40,88,52,181,88,A281,Terminal G,488,22,307,55
SFO,San Francisco International Airport,187,0,151,121,4,0,0,20,18,16,2,2024-05-18,80,0900 - 1000,2024-08-05 10:22:40,47,27,290,47,A281,Terminal G,479,11,189,39
SFO,San Francisco International Airport,222,0,338,175,94,95,0,30,21,28,4,2024-05-18,135,1000 - 1100,2024-08-05 10:22:40,85,40,517,85,A281,Terminal G,952,19,435,52
SFO,San Francisco International Airport,346,0,209,41,40,0,0,15,16,15,3,2024-05-18,184,1100 - 1200,2024-08-05 10:22:40,60,29,167,60,A281,Terminal G,651,11,484,46
SFO,San Francisco International Airport,358,0,387,127,32,91,43,27,14,29,4,2024-05-18,243,1300 - 1400,2024-08-05 10:22:40,103,41,443,103,A281,Terminal G,1067,17,624,49
SFO,San Francisco International Airport,111,82,65,106,58,102,84,59,19,14,2,2024-05-18,76,1400 - 1500,2024-08-05 10:22:40,134,81,405,134,A281,Terminal G,622,20,217,62
SFO,San Francisco International Airport,180,0,54,135,50,53,221,54,20,22,3,2024-05-18,116,1500 - 1600,2024-08-05 10:22:40,116,87,354,116,A281,Terminal G,715,23,361,57
SFO,San Francisco International Airport,409,0,272,261,169,177,316,46,21,47,7,2024-05-18,298,1600 - 1700,2024-08-05 10:22:40,119,75,734,119,A281,Terminal G,1651,23,917,60
SFO,San Francisco International Airport,48,0,6,79,3,3,0,28,12,5,1,2024-05-18,20,1700 - 1800,2024-08-05 10:22:40,79,39,23,79,A281,Terminal G,144,27,121,45
SFO,San Francisco International Airport,210,0,15,0,0,0,0,8,11,4,1,2024-05-18,65,1800 - 1900,2024-08-05 10:22:40,18,9,30,16,A281,Terminal G,229,8,199,18
SFO,San Francisco International Airport,413,0,214,149,20,0,0,17,10,17,4,2024-05-18,167,1900 - 2000,2024-08-05 10:22:40,48,25,286,48,A281,Terminal G,813,13,527,48
SFO,San Francisco International Airport,145,0,88,200,132,34,0,32,11,15,3,2024-05-18,92,2000 - 2100,2024-08-05 10:22:40,68,41,324,68,A281,Terminal G,614,23,290,64
SFO,San Francisco International Airport,146,0,67,0,0,0,0,10,7,10,1,2024-05-18,55,2100 - 2200,2024-08-05 10:22:40,26,12,87,26,A281,Terminal G,223,9,136,26
SFO,San Francisco International Airport,156,0,186,130,4,0,0,22,14,16,3,2024-05-19,36,1000 - 1100,2024-08-05 10:22:40,47,25,352,47,A286,Terminal A,492,15,140,33
