AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
SLC,Salt Lake City International Airport,224,0,236,57,23,0,0,18,6,14,2,2024-05-18,84,1300 - 1400,2024-08-05 10:22:40,54,26,143,54,A33J,Main,554,16,411,54
SLC,Salt Lake City International Airport,29,0,103,66,15,0,0,27,5,6,1,2024-05-18,42,1400 - 1500,2024-08-05 10:22:40,50,36,44,50,A33J,Main,219,24,175,46
SLC,Salt Lake City International Airport,142,0,168,21,0,0,0,16,5,9,2,2024-05-18,16,1800 - 1900,2024-08-05 10:22:40,35,18,85,35,A33J,Main,340,15,255,34
SLC,Salt Lake City International Airport,213,0,223,0,0,0,0,14,5,7,3,2024-05-18,25,2000 - 2100,2024-08-05 10:22:40,26,15,54,26,A33J,Main,443,14,389,26
SLC,Salt Lake City International Airport,160,0,222,158,0,0,0,22,6,11,2,2024-05-19,64,1300 - 1400,2024-08-05 10:22:40,41,19,143,41,A33J,Main,551,23,408,41
SLC,Salt Lake City International Airport,35,0,125,7,0,0,0,19,6,3,1,2024-05-19,25,1400 - 1500,2024-08-05 10:22:40,32,21,47,32,A33J,Main,170,18,123,31
SLC,Salt Lake City International Airport,109,0,53,0,0,0,0,13,6,6,2,2024-05-19,10,1700 - 1800,2024-08-05 10:22:40,18,4,9,10,A33J,Main,168,13,159,18
SLC,Salt Lake City International Airport,70,0,77,0,0,0,0,15,6,6,1,2024-05-19,0,1800 - 1900,2024-08-05 10:22:40,25,15,49,25,A33J,Main,153,15,104,25
SLC,Salt Lake City International Airport,209,0,228,197,41,0,0,24,6,15,3,2024-05-19,93,1900 - 2000,2024-08-05 10:22:40,53,27,92,52,A33J,Main,690,23,598,53
SLC,Salt Lake City International Airport,80,0,40,0,0,0,0,12,5,4,1,2024-05-19,6,2000 - 2100,2024-08-05 10:22:40,22,14,45,22,A33J,Main,124,11,79,22
