AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
SMF,Sacramento International Airport,159,0,9,0,0,0,0,8,3,4,1,2024-05-18,17,1900 - 2000,2024-08-05 10:22:40,16,7,2,7,A285,Main Terminal,172,8,170,16
SMF,Sacramento International Airport,85,0,80,8,0,0,0,15,3,9,1,2024-05-18,0,2200 - 2300,2024-08-05 10:22:40,32,16,77,32,A285,Main Terminal,182,14,105,31
SMF,Sacramento International Airport,117,0,118,85,0,0,0,20,3,15,2,2024-05-18,0,2300 - 0000,2024-08-05 10:22:40,42,22,137,42,A285,Main Terminal,335,19,198,42
SMF,Sacramento International Airport,149,0,23,0,0,0,0,8,3,4,1,2024-05-19,20,1800 - 1900,2024-08-05 10:22:40,17,6,2,6,A285,Main Terminal,176,8,174,17
SMF,Sacramento International Airport,84,0,78,0,0,0,0,14,4,8,1,2024-05-19,1,2100 - 2200,2024-08-05 10:22:40,29,14,73,28,A285,Main Terminal,170,14,97,29
SMF,Sacramento International Airport,110,0,37,0,0,0,0,9,4,1,1,2024-05-19,1,2200 - 2300,2024-08-05 10:22:40,23,11,48,23,A285,Main Terminal,148,8,100,23
SMF,Sacramento International Airport,120,0,53,0,0,0,0,12,4,9,1,2024-05-19,1,2300 - 0000,2024-08-05 10:22:40,24,12,44,24,A285,Main Terminal,182,12,138,24
SMF,Sacramento International Airport,118,0,34,0,0,0,0,10,5,6,1,2024-05-20,1,2200 - 2300,2024-08-05 10:22:40,20,11,54,20,A285,Main Terminal,158,9,104,20
SMF,Sacramento International Airport,123,0,50,0,0,0,0,10,5,10,1,2024-05-20,0,2300 - 0000,2024-08-05 10:22:40,22,10,62,22,A285,Main Terminal,183,10,121,22
SMF,Sacramento International Airport,103,0,71,7,0,0,0,14,6,6,1,2024-05-21,0,2200 - 2300,2024-08-05 10:22:40,32,15,87,32,A285,Main Terminal,187,14,100,31
SMF,Sacramento International Airport,89,0,85,0,0,0,0,14,7,4,1,2024-05-21,0,2300 - 0000,2024-08-05 10:22:40,29,16,71,29,A285,Main Terminal,178,12,107,29
SMF,Sacramento International Airport,66,0,64,0,0,0,0,14,5,8,1,2024-05-22,1,2100 - 2200,2024-08-05 10:22:49,26,15,82,26,A285,Main Terminal,138,13,56,25
SMF,Sacramento International Airport,85,0,62,0,0,0,0,13,4,7,1,2024-05-22,1,2200 - 2300,2024-08-05 10:22:49,27,14,68,27,A285,Main Terminal,154,12,86,26
SMF,Sacramento International Airport,62,0,62,44,0,0,0,20,4,7,1,2024-05-22,1,2300 - 0000,2024-08-05 10:22:49,42,25,83,42,A285,Main Terminal,175,15,92,41
SMF,Sacramento International Airport,78,0,69,18,0,0,0,16,4,4,1,2024-05-23,0,2200 - 2300,2024-08-05 10:22:49,33,18,87,33,A285,Main Terminal,169,15,82,33
SMF,Sacramento International Airport,77,0,69,16,0,0,0,16,4,9,1,2024-05-24,0,0000 - 0100,2024-08-05 10:22:49,34,18,85,34,A285,Main Terminal,171,14,86,34
SMF,Sacramento International Airport,63,0,62,26,0,0,0,18,3,6,1,2024-05-24,0,2300 - 0000,2024-08-05 10:22:49,36,19,89,36,A285,Main Terminal,157,18,68,36
SMF,Sacramento International Airport,121,0,38,0,0,0,0,9,3,4,1,2024-05-25,14,1800 - 1900,2024-08-05 10:22:49,19,0,0,0,A285,Main Terminal,163,9,163,19
SMF,Sacramento International Airport,56,0,35,43,31,0,0,26,3,10,1,2024-05-25,0,2200 - 2300,2024-08-05 10:22:49,51,25,87,51,A285,Main Terminal,175,27,88,51
SMF,Sacramento International Airport,168,0,95,49,0,0,0,16,3,16,2,2024-05-25,1,2300 - 0000,2024-08-05 10:22:49,43,19,136,43,A285,Main Terminal,328,14,192,36
SMF,Sacramento International Airport,145,0,0,0,0,0,0,6,3,3,1,2024-05-26,13,1800 - 1900,2024-08-05 10:22:49,14,2,1,2,A285,Main Terminal,148,6,147,14
SMF,Sacramento International Airport,54,0,64,30,0,0,0,20,3,6,1,2024-05-26,0,2100 - 2200,2024-08-05 10:22:49,38,20,78,38,A285,Main Terminal,154,20,76,38
SMF,Sacramento International Airport,80,0,73,0,0,0,0,13,3,6,1,2024-05-26,2,2200 - 2300,2024-08-05 10:22:49,27,13,46,27,A285,Main Terminal,159,14,113,27
SMF,Sacramento International Airport,86,0,86,0,0,0,0,16,3,7,1,2024-05-26,0,2300 - 0000,2024-08-05 10:22:49,30,16,40,30,A285,Main Terminal,179,16,139,30
SMF,Sacramento International Airport,101,0,52,0,0,0,0,11,3,8,1,2024-05-27,7,2200 - 2300,2024-08-05 10:22:49,25,13,44,25,A285,Main Terminal,161,10,117,25
SMF,Sacramento International Airport,121,0,58,0,0,0,0,11,3,10,1,2024-05-27,2,2300 - 0000,2024-08-05 10:22:49,24,11,34,23,A285,Main Terminal,189,11,155,24
SMF,Sacramento International Airport,104,0,70,0,0,0,0,12,4,5,1,2024-05-28,4,2200 - 2300,2024-08-05 10:22:49,27,14,63,27,A285,Main Terminal,179,11,116,27
SMF,Sacramento International Airport,61,0,0,0,0,0,0,6,4,4,1,2024-05-28,0,2300 - 0000,2024-08-05 10:22:49,11,6,26,11,A285,Main Terminal,65,5,39,11
SMF,Sacramento International Airport,104,0,20,0,0,0,0,9,5,6,1,2024-05-29,2,2100 - 2200,2024-08-05 10:22:59,19,9,52,19,A285,Main Terminal,130,8,78,19
SMF,Sacramento International Airport,103,0,45,0,0,0,0,11,5,9,1,2024-05-29,3,2200 - 2300,2024-08-05 10:22:59,25,12,62,25,A285,Main Terminal,157,10,95,24
SMF,Sacramento International Airport,102,0,61,0,0,0,0,13,5,7,1,2024-05-29,1,2300 - 0000,2024-08-05 10:22:59,28,15,77,28,A285,Main Terminal,170,11,93,28
SMF,Sacramento International Airport,73,0,84,0,0,0,0,15,5,5,1,2024-05-30,1,2200 - 2300,2024-08-05 10:22:59,30,18,83,30,A285,Main Terminal,162,12,79,30
SMF,Sacramento International Airport,71,0,46,23,0,0,0,16,6,4,1,2024-05-30,0,2300 - 0000,2024-08-05 10:22:59,36,17,90,36,A285,Main Terminal,144,14,54,35
SMF,Sacramento International Airport,101,0,66,0,0,0,0,13,4,1,1,2024-05-31,1,2300 - 0000,2024-08-05 10:22:59,27,13,56,27,A285,Main Terminal,168,12,112,27
SMF,Sacramento International Airport,156,0,0,0,0,0,0,5,4,5,1,2024-06-01,18,1800 - 1900,2024-08-05 10:22:59,10,0,0,0,A285,Main Terminal,161,5,161,10
SMF,Sacramento International Airport,242,0,46,0,0,0,0,9,5,6,2,2024-06-01,0,2200 - 2300,2024-08-05 10:22:59,21,10,86,21,A285,Main Terminal,294,8,208,21
SMF,Sacramento International Airport,117,0,17,0,0,0,0,8,5,0,1,2024-06-02,1,0000 - 0100,2024-08-05 10:22:59,18,7,39,18,A285,Main Terminal,134,8,95,18
SMF,Sacramento International Airport,171,0,0,0,0,0,0,6,5,6,1,2024-06-02,16,1800 - 1900,2024-08-05 10:22:59,14,4,3,4,A285,Main Terminal,177,6,174,14
SMF,Sacramento International Airport,82,0,11,0,0,0,0,7,5,3,1,2024-06-02,0,2100 - 2200,2024-08-05 10:22:59,17,7,43,17,A285,Main Terminal,96,7,53,17
SMF,Sacramento International Airport,215,0,69,0,0,0,0,10,6,4,2,2024-06-02,7,2300 - 0000,2024-08-05 10:22:59,25,11,94,25,A285,Main Terminal,288,9,194,25
SMF,Sacramento International Airport,136,0,62,1,0,0,0,11,5,11,2,2024-06-03,0,2200 - 2300,2024-08-05 10:22:59,31,12,90,31,A285,Main Terminal,210,11,120,25
SMF,Sacramento International Airport,81,0,50,11,0,0,0,14,5,9,1,2024-06-03,0,2300 - 0000,2024-08-05 10:22:59,33,17,56,33,A285,Main Terminal,151,12,95,33
SMF,Sacramento International Airport,84,0,50,0,0,0,0,12,5,8,1,2024-06-04,1,2100 - 2200,2024-08-05 10:22:59,23,13,78,23,A285,Main Terminal,142,10,64,23
SMF,Sacramento International Airport,92,0,5,0,0,0,0,7,5,4,1,2024-06-04,2,2200 - 2300,2024-08-05 10:22:59,16,7,37,16,A285,Main Terminal,101,7,64,16
SMF,Sacramento International Airport,67,0,62,0,0,0,0,15,5,5,1,2024-06-04,0,2300 - 0000,2024-08-05 10:22:59,29,15,64,29,A285,Main Terminal,134,14,70,29
SMF,Sacramento International Airport,159,0,16,0,0,0,0,6,4,4,2,2024-06-05,0,2200 - 2300,2024-08-05 10:23:08,17,8,68,17,A285,Main Terminal,179,6,111,17
SMF,Sacramento International Airport,93,0,53,0,0,0,0,12,5,5,1,2024-06-05,0,2300 - 0000,2024-08-05 10:23:08,24,12,80,24,A285,Main Terminal,151,12,71,24
SMF,Sacramento International Airport,95,0,32,0,0,0,0,11,4,3,1,2024-06-06,0,2100 - 2200,2024-08-05 10:23:08,22,11,69,22,A285,Main Terminal,130,10,61,22
SMF,Sacramento International Airport,38,0,0,0,0,0,0,2,4,2,1,2024-06-06,0,2200 - 2300,2024-08-05 10:23:08,9,3,24,9,A285,Main Terminal,40,2,16,5
SMF,Sacramento International Airport,62,0,73,3,0,0,0,15,5,6,1,2024-06-06,0,2300 - 0000,2024-08-05 10:23:08,31,17,76,31,A285,Main Terminal,144,14,68,28
SMF,Sacramento International Airport,65,0,33,0,0,0,0,11,4,7,1,2024-06-07,0,2200 - 2300,2024-08-05 10:23:08,28,14,33,28,A285,Main Terminal,105,10,72,28
SMF,Sacramento International Airport,40,0,65,48,0,0,0,23,5,1,1,2024-06-07,0,2300 - 0000,2024-08-05 10:23:08,41,26,96,41,A285,Main Terminal,154,19,58,40
SMF,Sacramento International Airport,165,0,6,0,0,0,0,8,3,5,1,2024-06-08,0,1800 - 1900,2024-08-05 10:23:08,16,8,1,8,A285,Main Terminal,176,8,175,16
SMF,Sacramento International Airport,55,0,76,6,0,0,0,16,3,6,1,2024-06-08,0,2100 - 2200,2024-08-05 10:23:08,32,17,76,32,A285,Main Terminal,143,16,67,32
SMF,Sacramento International Airport,73,0,39,0,0,0,0,10,3,7,1,2024-06-08,0,2200 - 2300,2024-08-05 10:23:08,21,10,40,21,A285,Main Terminal,119,10,79,21
SMF,Sacramento International Airport,73,0,66,0,0,0,0,15,3,3,1,2024-06-09,0,0000 - 0100,2024-08-05 10:23:08,30,17,59,30,A285,Main Terminal,142,13,83,29
SMF,Sacramento International Airport,166,0,0,0,0,0,0,7,6,7,1,2024-06-09,0,1800 - 1900,2024-08-05 10:23:08,14,7,1,7,A285,Main Terminal,173,7,172,14
SMF,Sacramento International Airport,166,0,43,0,0,0,0,9,6,13,2,2024-06-09,0,2200 - 2300,2024-08-05 10:23:08,21,10,84,21,A285,Main Terminal,222,9,138,21
SMF,Sacramento International Airport,108,0,41,0,0,0,0,10,6,6,1,2024-06-09,0,2300 - 0000,2024-08-05 10:23:08,21,10,39,21,A285,Main Terminal,155,10,116,21
SMF,Sacramento International Airport,75,0,9,0,0,0,0,9,4,4,1,2024-06-10,0,2100 - 2200,2024-08-05 10:23:08,17,9,50,17,A285,Main Terminal,88,8,38,17
SMF,Sacramento International Airport,89,0,25,0,0,0,0,10,4,6,1,2024-06-10,0,2200 - 2300,2024-08-05 10:23:08,20,10,34,20,A285,Main Terminal,120,10,86,20
SMF,Sacramento International Airport,83,0,48,0,0,0,0,12,4,6,1,2024-06-10,0,2300 - 0000,2024-08-05 10:23:08,26,12,50,26,A285,Main Terminal,137,11,87,26
SMF,Sacramento International Airport,90,0,38,0,0,0,0,11,4,7,1,2024-06-11,0,0000 - 0100,2024-08-05 10:23:08,26,11,50,26,A285,Main Terminal,135,11,85,26
SMF,Sacramento International Airport,67,0,37,0,0,0,0,11,4,6,1,2024-06-11,0,2200 - 2300,2024-08-05 10:23:08,24,11,44,24,A285,Main Terminal,110,11,66,24
SMF,Sacramento International Airport,62,0,57,14,0,0,0,16,4,7,1,2024-06-11,0,2300 - 0000,2024-08-05 10:23:08,33,17,59,33,A285,Main Terminal,140,15,81,33
SMF,Sacramento International Airport,89,0,38,0,0,0,0,10,4,4,1,2024-06-12,0,0000 - 0100,2024-08-05 10:23:16,23,12,56,23,A285,Main Terminal,131,9,75,23
SMF,Sacramento International Airport,71,0,9,0,0,0,0,7,5,3,1,2024-06-12,0,2100 - 2200,2024-08-05 10:23:16,18,9,46,18,A285,Main Terminal,83,6,37,15
SMF,Sacramento International Airport,44,0,47,0,0,0,0,16,4,2,1,2024-06-12,0,2200 - 2300,2024-08-05 10:23:16,30,18,42,30,A285,Main Terminal,93,14,51,26
SMF,Sacramento International Airport,70,0,75,0,0,0,0,16,5,4,1,2024-06-12,1,2300 - 0000,2024-08-05 10:23:16,30,17,80,30,A285,Main Terminal,149,15,69,30
SMF,Sacramento International Airport,145,0,65,8,0,0,0,12,5,8,2,2024-06-13,1,2200 - 2300,2024-08-05 10:23:16,32,12,109,32,A285,Main Terminal,226,11,117,32
SMF,Sacramento International Airport,85,0,39,0,0,0,0,11,5,4,1,2024-06-13,0,2300 - 0000,2024-08-05 10:23:16,23,12,70,23,A285,Main Terminal,128,10,58,22
SMF,Sacramento International Airport,182,0,109,0,0,0,0,13,4,12,2,2024-06-14,1,2300 - 0000,2024-08-05 10:23:16,30,14,134,30,A285,Main Terminal,303,13,169,30
SMF,Sacramento International Airport,120,0,52,0,0,0,0,10,2,4,1,2024-06-15,10,1800 - 1900,2024-08-05 10:23:16,21,19,2,19,A285,Main Terminal,176,10,174,21
SMF,Sacramento International Airport,97,0,72,80,29,0,0,24,3,12,2,2024-06-15,1,2200 - 2300,2024-08-05 10:23:16,49,22,75,49,A285,Main Terminal,290,24,215,49
