AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
ATL,Atlanta Hartsfield-Jackson Intl Airport,382,0,0,0,0,0,0,1,9,11,2,2024-05-14,68,1300 - 1400,2024-08-05 10:22:32,11,2,114,11,A171,Concourse E,393,1,279,10
ATL,Atlanta Hartsfield-Jackson Intl Airport,851,0,102,6,0,0,0,6,19,33,7,2024-05-14,115,1400 - 1500,2024-08-05 10:22:32,34,8,206,32,A171,Concourse E,992,5,786,34
ATL,Atlanta Hartsfield-Jackson Intl Airport,1191,0,30,3,0,0,0,4,19,30,6,2024-05-14,201,1500 - 1600,2024-08-05 10:22:32,31,7,233,31,A171,Concourse E,1254,3,1021,17
ATL,Atlanta Hartsfield-Jackson Intl Airport,812,0,174,88,0,0,0,10,24,38,7,2024-05-14,160,1600 - 1700,2024-08-05 10:22:32,45,16,203,45,A171,Concourse E,1112,9,909,45
ATL,Atlanta Hartsfield-Jackson Intl Airport,548,0,76,0,0,0,0,6,19,23,3,2024-05-14,121,1700 - 1800,2024-08-05 10:22:32,24,5,53,11,A171,Concourse E,647,6,594,24
ATL,Atlanta Hartsfield-Jackson Intl Airport,1128,0,318,2,0,0,0,8,23,43,8,2024-05-14,166,1800 - 1900,2024-08-05 10:22:32,31,10,317,30,A171,Concourse E,1491,8,1174,31
ATL,Atlanta Hartsfield-Jackson Intl Airport,1807,0,333,3,0,0,0,7,26,58,12,2024-05-14,311,1900 - 2000,2024-08-05 10:22:32,31,12,434,31,A171,Concourse E,2201,6,1767,27
ATL,Atlanta Hartsfield-Jackson Intl Airport,625,0,198,132,0,0,0,13,22,25,6,2024-05-14,97,2000 - 2100,2024-08-05 10:22:32,45,14,213,45,A171,Concourse E,980,12,767,42
ATL,Atlanta Hartsfield-Jackson Intl Airport,264,0,41,15,0,0,0,8,16,6,2,2024-05-14,14,2100 - 2200,2024-08-05 10:22:32,40,11,184,40,A171,Concourse E,326,5,142,31
ATL,Atlanta Hartsfield-Jackson Intl Airport,415,0,0,0,0,0,0,6,10,11,2,2024-05-14,46,0500 - 0600,2024-08-05 10:22:32,15,6,182,15,A174,Concourse F,426,5,244,15
