AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
BOS,Boston Logan International Airport,88,0,60,61,50,54,35,41,6,11,2,2024-05-17,29,0800 - 0900,2024-08-05 10:22:40,108,53,233,108,A041,Terminal E,359,20,126,64
BOS,Boston Logan International Airport,22,0,4,38,52,229,62,70,10,13,2,2024-05-17,13,0900 - 1000,2024-08-05 10:22:40,104,78,324,104,A041,Terminal E,420,44,96,101
BOS,Boston Logan International Airport,39,0,45,57,44,109,74,58,9,7,2,2024-05-17,37,1000 - 1100,2024-08-05 10:22:40,102,80,210,102,A041,Terminal E,375,31,165,97
BOS,Boston Logan International Airport,85,0,133,36,0,0,0,20,8,6,2,2024-05-17,59,1100 - 1200,2024-08-05 10:22:40,45,23,126,45,A041,Terminal E,260,17,134,28
BOS,Boston Logan International Airport,321,0,143,0,0,0,0,11,8,6,3,2024-05-17,124,1200 - 1300,2024-08-05 10:22:40,26,15,109,26,A041,Terminal E,470,10,361,26
BOS,Boston Logan International Airport,472,0,245,355,77,0,0,23,18,31,6,2024-05-17,202,1300 - 1400,2024-08-05 10:22:40,55,33,394,55,A041,Terminal E,1180,18,786,55
BOS,Boston Logan International Airport,354,0,776,256,54,19,0,23,24,40,7,2024-05-17,180,1400 - 1500,2024-08-05 10:22:40,71,31,606,71,A041,Terminal E,1499,18,893,61
BOS,Boston Logan International Airport,376,0,504,253,14,0,0,21,22,37,6,2024-05-17,191,1500 - 1600,2024-08-05 10:22:40,51,26,530,51,A041,Terminal E,1184,18,654,51
BOS,Boston Logan International Airport,459,0,440,248,9,0,0,20,19,33,6,2024-05-17,179,1600 - 1700,2024-08-05 10:22:40,46,28,569,46,A041,Terminal E,1189,13,620,41
BOS,Boston Logan International Airport,339,0,336,66,0,0,0,17,13,24,3,2024-05-17,105,1700 - 1800,2024-08-05 10:22:40,43,23,207,43,A041,Terminal E,765,16,558,37
BOS,Boston Logan International Airport,830,0,469,80,0,0,0,14,15,44,6,2024-05-17,184,1800 - 1900,2024-08-05 10:22:40,38,21,545,38,A041,Terminal E,1423,11,878,32
BOS,Boston Logan International Airport,361,25,568,310,62,0,48,28,17,46,9,2024-05-17,166,1900 - 2000,2024-08-05 10:22:40,133,35,729,133,A041,Terminal E,1420,21,691,118
BOS,Boston Logan International Airport,240,0,254,129,118,15,0,25,15,22,4,2024-05-17,166,2000 - 2100,2024-08-05 10:22:40,62,41,265,62,A041,Terminal E,778,18,513,52
BOS,Boston Logan International Airport,141,0,411,121,23,0,0,23,10,15,3,2024-05-17,69,2100 - 2200,2024-08-05 10:22:40,48,28,330,48,A041,Terminal E,711,18,381,33
BOS,Boston Logan International Airport,180,0,33,0,0,0,0,10,7,4,1,2024-05-17,53,2200 - 2300,2024-08-05 10:22:40,21,13,70,21,A041,Terminal E,217,9,147,21
BOS,Boston Logan International Airport,84,0,88,126,105,12,0,33,6,17,2,2024-05-18,8,0800 - 0900,2024-08-05 10:22:40,65,31,317,65,A041,Terminal E,432,36,115,65
BOS,Boston Logan International Airport,105,0,94,111,57,0,0,27,8,9,2,2024-05-18,34,1000 - 1100,2024-08-05 10:22:40,57,35,220,57,A041,Terminal E,376,17,156,37
BOS,Boston Logan International Airport,203,0,194,10,0,0,0,14,7,12,3,2024-05-18,63,1100 - 1200,2024-08-05 10:22:40,34,16,204,34,A041,Terminal E,419,13,215,25
BOS,Boston Logan International Airport,317,0,218,0,0,0,0,13,11,7,3,2024-05-18,112,1200 - 1300,2024-08-05 10:22:40,27,17,108,27,A041,Terminal E,542,13,434,26
BOS,Boston Logan International Airport,643,0,467,0,0,0,0,14,22,29,5,2024-05-18,233,1300 - 1400,2024-08-05 10:22:40,27,16,246,26,A041,Terminal E,1139,14,893,27
BOS,Boston Logan International Airport,897,0,423,66,0,0,0,14,22,36,7,2024-05-18,118,1400 - 1500,2024-08-05 10:22:40,45,17,552,45,A041,Terminal E,1422,12,870,39
BOS,Boston Logan International Airport,658,0,678,267,10,0,0,18,23,44,7,2024-05-18,271,1500 - 1600,2024-08-05 10:22:40,47,25,798,47,A041,Terminal E,1657,12,859,35
BOS,Boston Logan International Airport,295,0,256,3,0,0,0,15,13,14,3,2024-05-18,87,1600 - 1700,2024-08-05 10:22:40,31,22,117,31,A041,Terminal E,568,13,451,25
BOS,Boston Logan International Airport,478,0,312,0,0,0,0,14,12,17,3,2024-05-18,104,1700 - 1800,2024-08-05 10:22:40,29,18,204,29,A041,Terminal E,807,12,603,29
BOS,Boston Logan International Airport,455,0,390,10,0,0,0,15,15,21,5,2024-05-18,101,1800 - 1900,2024-08-05 10:22:40,31,18,218,31,A041,Terminal E,876,14,658,31
BOS,Boston Logan International Airport,551,0,480,356,132,17,0,24,16,39,7,2024-05-18,208,1900 - 2000,2024-08-05 10:22:40,66,33,699,66,A041,Terminal E,1575,17,876,60
BOS,Boston Logan International Airport,187,0,558,233,7,0,0,23,17,29,6,2024-05-18,115,2000 - 2100,2024-08-05 10:22:40,47,24,246,47,A041,Terminal E,1014,23,768,47
BOS,Boston Logan International Airport,65,0,77,0,0,0,0,15,10,5,1,2024-05-18,12,2100 - 2200,2024-08-05 10:22:40,22,16,33,22,A041,Terminal E,147,15,114,22
BOS,Boston Logan International Airport,291,0,254,120,18,0,0,20,14,16,3,2024-05-18,50,2200 - 2300,2024-08-05 10:22:40,47,23,393,47,A041,Terminal E,699,16,306,40
BOS,Boston Logan International Airport,0,0,8,177,37,0,0,39,11,4,1,2024-05-19,20,0500 - 0600,2024-08-05 10:22:40,51,40,149,51,A041,Terminal E,226,36,77,51
BOS,Boston Logan International Airport,15,0,153,96,0,0,0,27,11,8,1,2024-05-19,19,0800 - 0900,2024-08-05 10:22:40,44,29,168,44,A041,Terminal E,272,23,104,41
BOS,Boston Logan International Airport,121,0,176,127,0,0,0,23,13,10,2,2024-05-19,22,0900 - 1000,2024-08-05 10:22:40,45,27,276,45,A041,Terminal E,434,16,158,44
BOS,Boston Logan International Airport,259,0,83,0,0,0,0,10,15,10,2,2024-05-19,38,1000 - 1100,2024-08-05 10:22:40,23,13,198,23,A041,Terminal E,352,7,154,21
BOS,Boston Logan International Airport,447,0,104,0,0,0,0,11,15,14,3,2024-05-19,109,1100 - 1200,2024-08-05 10:22:40,24,14,189,24,A041,Terminal E,565,10,376,23
BOS,Boston Logan International Airport,180,0,117,0,0,0,0,12,18,8,3,2024-05-19,71,1200 - 1300,2024-08-05 10:22:40,20,13,35,20,A041,Terminal E,305,12,270,20
BOS,Boston Logan International Airport,640,0,831,22,0,0,0,16,23,37,7,2024-05-19,243,1300 - 1400,2024-08-05 10:22:40,41,19,413,41,A041,Terminal E,1530,16,1117,41
BOS,Boston Logan International Airport,537,0,430,72,0,0,0,16,24,32,5,2024-05-19,103,1400 - 1500,2024-08-05 10:22:40,37,18,492,37,A041,Terminal E,1071,15,579,36
BOS,Boston Logan International Airport,724,0,620,6,0,0,0,14,19,30,6,2024-05-19,206,1500 - 1600,2024-08-05 10:22:40,31,16,511,31,A041,Terminal E,1380,13,869,31
BOS,Boston Logan International Airport,79,0,317,72,0,0,0,22,20,10,2,2024-05-19,47,1600 - 1700,2024-08-05 10:22:40,36,24,263,36,A041,Terminal E,478,18,215,33
BOS,Boston Logan International Airport,644,0,295,0,0,0,0,12,19,24,4,2024-05-19,168,1700 - 1800,2024-08-05 10:22:40,28,14,204,28,A041,Terminal E,963,11,759,26
BOS,Boston Logan International Airport,590,0,461,282,39,0,0,20,19,30,5,2024-05-19,192,1800 - 1900,2024-08-05 10:22:40,49,24,508,49,A041,Terminal E,1402,17,894,46
BOS,Boston Logan International Airport,231,0,529,127,0,0,0,21,17,29,5,2024-05-19,109,1900 - 2000,2024-08-05 10:22:40,42,24,393,42,A041,Terminal E,916,19,523,38
BOS,Boston Logan International Airport,699,0,328,113,20,12,0,16,17,28,6,2024-05-19,196,2000 - 2100,2024-08-05 10:22:40,66,21,389,66,A041,Terminal E,1200,14,811,48
BOS,Boston Logan International Airport,520,0,509,194,89,70,0,23,14,51,6,2024-05-19,177,2100 - 2200,2024-08-05 10:22:40,69,33,556,69,A041,Terminal E,1433,17,877,62
BOS,Boston Logan International Airport,142,0,94,48,5,0,0,18,11,11,2,2024-05-19,61,2200 - 2300,2024-08-05 10:22:40,47,22,166,47,A041,Terminal E,300,12,134,40
BOS,Boston Logan International Airport,66,0,100,79,36,0,0,27,7,8,1,2024-05-20,8,0700 - 0800,2024-08-05 10:22:40,53,30,221,53,A041,Terminal E,289,19,68,52
BOS,Boston Logan International Airport,35,0,0,0,0,0,0,5,6,0,1,2024-05-20,6,0800 - 0900,2024-08-05 10:22:40,9,5,32,9,A041,Terminal E,35,3,3,4
BOS,Boston Logan International Airport,56,0,84,117,97,67,0,39,8,8,2,2024-05-20,19,0900 - 1000,2024-08-05 10:22:40,74,43,292,74,A041,Terminal E,429,30,137,61
BOS,Boston Logan International Airport,61,0,50,163,69,18,0,34,10,5,2,2024-05-20,46,1000 - 1100,2024-08-05 10:22:40,64,42,171,64,A041,Terminal E,366,28,195,63
BOS,Boston Logan International Airport,273,0,92,0,0,0,0,12,12,12,3,2024-05-20,48,1100 - 1200,2024-08-05 10:22:40,27,14,188,27,A041,Terminal E,377,10,189,26
BOS,Boston Logan International Airport,251,0,112,0,0,0,0,13,11,9,2,2024-05-20,64,1200 - 1300,2024-08-05 10:22:40,26,15,103,26,A041,Terminal E,372,12,269,24
BOS,Boston Logan International Airport,449,0,485,112,31,0,0,19,18,35,6,2024-05-20,210,1300 - 1400,2024-08-05 10:22:40,53,29,295,53,A041,Terminal E,1112,16,817,38
BOS,Boston Logan International Airport,849,0,743,141,176,99,0,22,23,69,10,2024-05-20,214,1400 - 1500,2024-08-05 10:22:40,83,32,953,83,A041,Terminal E,2077,14,1124,68
BOS,Boston Logan International Airport,144,0,183,160,186,241,0,41,23,26,5,2024-05-20,56,1500 - 1600,2024-08-05 10:22:40,84,53,520,84,A041,Terminal E,940,27,420,78
BOS,Boston Logan International Airport,393,0,347,313,200,38,0,27,17,48,5,2024-05-20,193,1600 - 1700,2024-08-05 10:22:40,65,41,492,65,A041,Terminal E,1339,20,847,63
BOS,Boston Logan International Airport,113,0,24,0,0,0,0,8,10,6,1,2024-05-20,8,1700 - 1800,2024-08-05 10:22:40,20,15,38,20,A041,Terminal E,143,6,105,12
BOS,Boston Logan International Airport,576,0,608,131,56,0,0,19,15,52,7,2024-05-20,189,1800 - 1900,2024-08-05 10:22:40,56,28,435,56,A041,Terminal E,1423,15,988,56
