AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
BWI,Baltimore/Washington International Thurgood Marshall Airport,194,0,153,3,0,0,0,13,4,13,3,2024-05-17,28,1600 - 1700,2024-08-05 10:22:40,32,17,68,32,A131,International Arrivals,363,12,295,22
BWI,Baltimore/Washington International Thurgood Marshall Airport,154,0,101,30,0,0,0,16,4,11,2,2024-05-17,15,1700 - 1800,2024-08-05 10:22:40,38,22,43,38,A131,International Arrivals,296,15,253,37
BWI,Baltimore/Washington International Thurgood Marshall Airport,215,0,50,0,0,0,0,7,4,12,2,2024-05-17,35,1900 - 2000,2024-08-05 10:22:40,22,8,55,22,A131,International Arrivals,277,7,222,22
BWI,Baltimore/Washington International Thurgood Marshall Airport,143,0,0,0,0,0,0,7,4,8,1,2024-05-17,7,2000 - 2100,2024-08-05 10:22:40,13,11,2,12,A131,International Arrivals,151,7,149,13
BWI,Baltimore/Washington International Thurgood Marshall Airport,141,0,89,32,0,0,0,16,5,12,2,2024-05-18,19,1500 - 1600,2024-08-05 10:22:40,44,22,114,44,A131,International Arrivals,274,11,160,31
BWI,Baltimore/Washington International Thurgood Marshall Airport,132,0,0,0,0,0,0,6,5,7,1,2024-05-18,10,1600 - 1700,2024-08-05 10:22:40,14,9,4,12,A131,International Arrivals,139,6,135,14
BWI,Baltimore/Washington International Thurgood Marshall Airport,192,0,311,52,32,0,0,19,6,27,4,2024-05-18,47,1700 - 1800,2024-08-05 10:22:40,55,36,117,55,A131,International Arrivals,614,16,497,34
BWI,Baltimore/Washington International Thurgood Marshall Airport,306,0,0,0,0,0,0,6,5,12,2,2024-05-18,32,1800 - 1900,2024-08-05 10:22:40,13,5,6,13,A131,International Arrivals,318,6,312,13
BWI,Baltimore/Washington International Thurgood Marshall Airport,490,0,163,30,0,0,0,12,6,39,4,2024-05-18,105,1900 - 2000,2024-08-05 10:22:40,44,21,111,44,A131,International Arrivals,722,10,611,29
BWI,Baltimore/Washington International Thurgood Marshall Airport,111,0,129,138,72,31,0,31,6,28,3,2024-05-18,34,2000 - 2100,2024-08-05 10:22:40,72,41,162,72,A131,International Arrivals,509,26,347,56
