AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
CLT,Charlotte/Douglas International Airport,265,0,137,94,26,0,0,17,6,17,2,2024-05-17,86,1200 - 1300,2024-08-05 10:22:40,49,27,228,49,A152,Main,539,11,311,49
CLT,Charlotte/Douglas International Airport,387,0,158,19,0,0,0,11,6,13,3,2024-05-17,84,1400 - 1500,2024-08-05 10:22:40,43,17,101,43,A152,Main,577,10,476,28
CLT,Charlotte/Douglas International Airport,377,0,227,53,0,0,0,13,8,15,3,2024-05-17,98,1500 - 1600,2024-08-05 10:22:40,38,18,81,37,A152,Main,672,13,591,38
CLT,Charlotte/Douglas International Airport,218,0,209,163,28,17,0,23,8,33,3,2024-05-17,81,1600 - 1700,2024-08-05 10:22:40,71,33,164,71,A152,Main,668,20,504,50
CLT,Charlotte/Douglas International Airport,115,0,77,232,10,0,0,27,8,21,2,2024-05-17,59,1700 - 1800,2024-08-05 10:22:40,56,41,27,56,A152,Main,455,26,428,53
CLT,Charlotte/Douglas International Airport,462,0,267,148,0,0,0,16,9,36,6,2024-05-17,132,1800 - 1900,2024-08-05 10:22:40,38,13,85,34,A152,Main,913,16,828,38
CLT,Charlotte/Douglas International Airport,407,0,119,0,0,0,0,9,9,22,3,2024-05-17,67,1900 - 2000,2024-08-05 10:22:40,25,11,116,25,A152,Main,548,9,432,25
CLT,Charlotte/Douglas International Airport,640,0,34,0,0,0,0,8,7,33,4,2024-05-17,69,2000 - 2100,2024-08-05 10:22:40,18,10,75,18,A152,Main,707,8,632,18
CLT,Charlotte/Douglas International Airport,315,0,6,0,0,0,0,7,6,14,2,2024-05-17,18,2100 - 2200,2024-08-05 10:22:40,17,9,54,16,A152,Main,335,7,281,17
CLT,Charlotte/Douglas International Airport,92,0,153,149,201,169,15,43,9,20,3,2024-05-18,92,1200 - 1300,2024-08-05 10:22:40,93,51,499,93,A152,Main,799,32,300,93
CLT,Charlotte/Douglas International Airport,420,0,16,0,0,0,0,6,8,8,3,2024-05-18,37,1400 - 1500,2024-08-05 10:22:40,17,8,25,15,A152,Main,444,6,419,17
CLT,Charlotte/Douglas International Airport,520,0,70,0,0,0,0,7,8,15,4,2024-05-18,95,1500 - 1600,2024-08-05 10:22:40,22,7,37,18,A152,Main,605,7,568,22
CLT,Charlotte/Douglas International Airport,573,0,186,145,96,85,0,21,8,35,5,2024-05-18,181,1600 - 1700,2024-08-05 10:22:40,80,22,179,76,A152,Main,1120,21,941,80
CLT,Charlotte/Douglas International Airport,97,0,73,264,173,0,0,35,8,15,4,2024-05-18,86,1700 - 1800,2024-08-05 10:22:40,60,36,37,60,A152,Main,622,34,585,60
CLT,Charlotte/Douglas International Airport,239,0,272,246,43,6,0,24,9,41,5,2024-05-18,112,1800 - 1900,2024-08-05 10:22:40,65,20,32,46,A152,Main,847,24,815,65
CLT,Charlotte/Douglas International Airport,245,0,166,304,289,629,0,48,10,74,10,2024-05-18,251,1900 - 2000,2024-08-05 10:22:40,86,41,201,82,A152,Main,1707,48,1506,86
CLT,Charlotte/Douglas International Airport,59,0,100,99,20,0,0,27,10,7,2,2024-05-18,44,2000 - 2100,2024-08-05 10:22:40,47,17,32,44,A152,Main,285,29,253,47
CLT,Charlotte/Douglas International Airport,129,0,288,212,0,0,0,23,10,30,4,2024-05-18,65,2100 - 2200,2024-08-05 10:22:40,42,17,104,38,A152,Main,659,24,555,42
CLT,Charlotte/Douglas International Airport,0,43,68,136,117,283,135,69,8,23,3,2024-05-19,103,1200 - 1300,2024-08-05 10:22:40,143,86,351,143,A152,Main,805,56,454,130
CLT,Charlotte/Douglas International Airport,90,0,90,5,0,0,0,15,5,2,1,2024-05-19,27,1400 - 1500,2024-08-05 10:22:40,31,19,5,31,A152,Main,187,15,182,31
