AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
CVG,Cincinnati/Northern Kentucky International Airport,114,0,60,14,0,0,0,13,4,8,1,2024-05-17,35,2000 - 2100,2024-08-05 10:22:40,36,18,63,36,A412,Concourse B,196,11,133,30
CVG,Cincinnati/Northern Kentucky International Airport,250,0,132,39,0,0,0,14,5,23,2,2024-05-18,71,1500 - 1600,2024-08-05 10:22:40,36,18,74,35,A412,Concourse B,444,13,370,36
CVG,Cincinnati/Northern Kentucky International Airport,33,0,78,63,14,0,0,27,4,6,1,2024-05-18,20,1900 - 2000,2024-08-05 10:22:40,51,32,71,51,A412,Concourse B,194,25,123,51
CVG,Cincinnati/Northern Kentucky International Airport,102,0,0,0,0,0,0,7,4,6,1,2024-05-18,0,2000 - 2100,2024-08-05 10:22:40,13,5,9,7,A412,Concourse B,108,7,99,13
CVG,Cincinnati/Northern Kentucky International Airport,82,0,0,0,0,0,0,5,4,3,1,2024-05-18,3,2200 - 2300,2024-08-05 10:22:40,11,6,5,9,A412,Concourse B,85,5,80,11
CVG,Cincinnati/Northern Kentucky International Airport,42,0,44,41,0,0,0,22,2,9,2,2024-05-19,0,0200 - 0300,2024-08-05 10:22:40,44,22,135,44,A412,Concourse B,136,2,1,2
CVG,Cincinnati/Northern Kentucky International Airport,110,0,80,3,0,0,0,14,4,5,1,2024-05-19,23,1900 - 2000,2024-08-05 10:22:40,31,11,65,31,A412,Concourse B,198,15,133,31
CVG,Cincinnati/Northern Kentucky International Airport,63,0,32,75,67,14,0,33,4,9,2,2024-05-20,34,1900 - 2000,2024-08-05 10:22:40,67,43,68,67,A412,Concourse B,260,29,192,67
CVG,Cincinnati/Northern Kentucky International Airport,98,0,87,15,0,0,0,15,4,9,1,2024-05-21,35,1500 - 1600,2024-08-05 10:22:40,34,20,68,34,A412,Concourse B,209,13,141,34
CVG,Cincinnati/Northern Kentucky International Airport,63,0,4,0,0,0,0,5,4,4,1,2024-05-22,6,1900 - 2000,2024-08-05 10:22:49,29,7,10,14,A412,Concourse B,71,5,61,29
CVG,Cincinnati/Northern Kentucky International Airport,111,0,66,14,0,0,0,14,4,9,1,2024-05-22,15,2000 - 2100,2024-08-05 10:22:49,35,20,58,35,A412,Concourse B,200,12,142,29
CVG,Cincinnati/Northern Kentucky International Airport,138,0,36,0,0,0,0,9,5,7,1,2024-05-23,33,1500 - 1600,2024-08-05 10:22:49,22,13,39,22,A412,Concourse B,181,8,142,20
CVG,Cincinnati/Northern Kentucky International Airport,98,0,45,0,0,0,0,10,4,8,1,2024-05-24,33,1500 - 1600,2024-08-05 10:22:49,24,13,31,24,A412,Concourse B,151,10,120,24
