AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
DEN,Denver International Airport,86,0,46,0,0,0,0,11,5,8,1,2024-05-17,3,1000 - 1100,2024-08-05 10:22:40,23,12,90,23,A337,International,140,10,50,23
DEN,Denver International Airport,247,0,153,0,0,0,0,12,5,23,2,2024-05-17,52,1100 - 1200,2024-08-05 10:22:40,29,16,191,29,A337,International,423,10,232,24
DEN,Denver International Airport,100,0,15,0,0,0,0,8,8,7,1,2024-05-17,6,1200 - 1300,2024-08-05 10:22:40,20,9,91,20,A337,International,122,6,31,15
DEN,Denver International Airport,396,0,27,0,0,0,0,7,9,22,2,2024-05-17,132,1300 - 1400,2024-08-05 10:22:40,21,10,99,21,A337,International,445,6,346,19
DEN,Denver International Airport,289,0,111,0,0,0,0,10,10,21,2,2024-05-17,42,1400 - 1500,2024-08-05 10:22:40,30,12,123,23,A337,International,421,10,298,30
DEN,Denver International Airport,487,0,174,0,0,0,0,10,11,33,3,2024-05-17,99,1500 - 1600,2024-08-05 10:22:40,25,15,164,25,A337,International,694,9,530,25
DEN,Denver International Airport,207,0,46,1,0,0,0,9,8,14,1,2024-05-17,40,1600 - 1700,2024-08-05 10:22:40,35,11,88,30,A337,International,268,8,180,35
DEN,Denver International Airport,527,0,606,34,0,0,0,16,8,62,7,2024-05-17,178,1700 - 1800,2024-08-05 10:22:40,32,13,157,27,A337,International,1229,16,1072,32
DEN,Denver International Airport,396,0,227,0,0,0,0,12,6,29,3,2024-05-17,77,1800 - 1900,2024-08-05 10:22:40,30,14,146,30,A337,International,652,11,506,30
DEN,Denver International Airport,198,0,106,0,0,0,0,11,7,12,2,2024-05-17,33,1900 - 2000,2024-08-05 10:22:40,23,13,52,23,A337,International,316,11,264,23
DEN,Denver International Airport,100,0,40,0,0,0,0,11,5,8,1,2024-05-18,1,1000 - 1100,2024-08-05 10:22:40,26,11,94,26,A337,International,148,10,54,24
DEN,Denver International Airport,262,0,107,46,0,0,0,13,8,20,2,2024-05-18,55,1100 - 1200,2024-08-05 10:22:40,37,19,193,37,A337,International,435,9,242,34
DEN,Denver International Airport,235,0,27,0,0,0,0,8,10,17,3,2024-05-18,19,1200 - 1300,2024-08-05 10:22:40,20,10,137,20,A337,International,279,7,142,17
DEN,Denver International Airport,400,0,72,0,0,0,0,8,10,19,2,2024-05-18,100,1300 - 1400,2024-08-05 10:22:40,20,11,153,20,A337,International,491,6,338,20
DEN,Denver International Airport,274,0,110,0,0,0,0,10,10,19,2,2024-05-18,42,1400 - 1500,2024-08-05 10:22:40,25,9,117,25,A337,International,403,11,286,25
DEN,Denver International Airport,254,0,11,0,0,0,0,7,10,13,2,2024-05-18,35,1500 - 1600,2024-08-05 10:22:40,17,10,14,16,A337,International,278,7,264,17
DEN,Denver International Airport,502,0,198,0,0,0,0,11,10,31,3,2024-05-18,101,1600 - 1700,2024-08-05 10:22:40,26,14,222,26,A337,International,731,9,509,25
DEN,Denver International Airport,829,0,129,0,0,0,0,9,10,38,6,2024-05-18,146,1700 - 1800,2024-08-05 10:22:40,26,10,104,26,A337,International,996,9,892,24
DEN,Denver International Airport,831,0,187,14,0,0,0,9,10,55,6,2024-05-18,195,1800 - 1900,2024-08-05 10:22:40,37,14,219,37,A337,International,1087,8,868,32
DEN,Denver International Airport,254,0,171,23,0,0,0,14,9,22,3,2024-05-18,26,1900 - 2000,2024-08-05 10:22:40,36,25,76,36,A337,International,470,12,394,33
DEN,Denver International Airport,393,0,47,0,0,0,0,8,6,19,3,2024-05-18,46,2000 - 2100,2024-08-05 10:22:40,20,7,22,18,A337,International,459,8,437,20
DEN,Denver International Airport,99,0,62,0,0,0,0,13,5,9,1,2024-05-19,6,1000 - 1100,2024-08-05 10:22:40,29,13,78,28,A337,International,170,12,92,29
DEN,Denver International Airport,147,0,91,0,0,0,0,13,5,11,1,2024-05-19,38,1100 - 1200,2024-08-05 10:22:40,29,18,85,29,A337,International,249,10,164,28
DEN,Denver International Airport,134,0,22,0,0,0,0,9,8,9,1,2024-05-19,12,1200 - 1300,2024-08-05 10:22:40,20,9,69,20,A337,International,165,8,96,19
DEN,Denver International Airport,200,0,164,9,0,0,0,14,8,22,2,2024-05-19,45,1300 - 1400,2024-08-05 10:22:40,40,16,151,40,A337,International,395,13,244,32
DEN,Denver International Airport,611,0,349,58,0,0,0,14,8,46,5,2024-05-19,162,1400 - 1500,2024-08-05 10:22:40,39,14,194,39,A337,International,1064,14,870,39
DEN,Denver International Airport,550,0,155,202,74,0,0,19,8,50,4,2024-05-19,184,1600 - 1700,2024-08-05 10:22:40,53,18,264,52,A337,International,1031,19,767,53
DEN,Denver International Airport,510,0,433,199,0,0,0,18,9,54,7,2024-05-19,186,1700 - 1800,2024-08-05 10:22:40,42,17,173,40,A337,International,1196,18,1023,42
DEN,Denver International Airport,256,0,154,0,0,0,0,11,9,19,2,2024-05-19,103,1800 - 1900,2024-08-05 10:22:40,28,13,56,28,A337,International,429,11,373,25
DEN,Denver International Airport,627,0,113,0,0,0,0,9,7,35,5,2024-05-19,100,1900 - 2000,2024-08-05 10:22:40,28,9,66,26,A337,International,775,9,709,28
DEN,Denver International Airport,177,0,43,0,0,0,0,10,6,12,1,2024-05-19,13,2000 - 2100,2024-08-05 10:22:40,21,16,10,21,A337,International,232,10,222,20
DEN,Denver International Airport,75,0,63,0,0,0,0,13,4,5,1,2024-05-20,2,1000 - 1100,2024-08-05 10:22:40,26,14,54,26,A337,International,143,13,89,26
DEN,Denver International Airport,146,0,131,119,13,0,0,22,7,19,2,2024-05-20,40,1100 - 1200,2024-08-05 10:22:40,55,29,172,55,A337,International,428,17,256,44
DEN,Denver International Airport,109,0,47,0,0,0,0,11,5,5,1,2024-05-20,11,1200 - 1300,2024-08-05 10:22:40,23,13,89,23,A337,International,161,8,72,23
DEN,Denver International Airport,338,0,55,0,0,0,0,8,8,19,2,2024-05-20,91,1300 - 1400,2024-08-05 10:22:40,23,11,169,23,A337,International,412,6,243,22
DEN,Denver International Airport,327,0,106,0,0,0,0,11,9,18,2,2024-05-20,50,1400 - 1500,2024-08-05 10:22:40,26,12,126,26,A337,International,451,10,325,26
DEN,Denver International Airport,150,0,2,0,0,0,0,6,9,9,1,2024-05-20,18,1500 - 1600,2024-08-05 10:22:40,16,7,3,10,A337,International,161,6,158,16
DEN,Denver International Airport,467,0,245,20,0,0,0,12,9,39,3,2024-05-20,100,1600 - 1700,2024-08-05 10:22:40,33,18,242,33,A337,International,771,10,529,29
DEN,Denver International Airport,629,0,43,0,0,0,0,7,9,37,4,2024-05-20,122,1700 - 1800,2024-08-05 10:22:40,19,8,59,18,A337,International,709,7,650,19
DEN,Denver International Airport,643,0,39,0,0,0,0,8,8,36,4,2024-05-20,95,1800 - 1900,2024-08-05 10:22:40,20,9,142,20,A337,International,718,8,576,20
DEN,Denver International Airport,232,0,93,0,0,0,0,10,6,15,2,2024-05-20,25,1900 - 2000,2024-08-05 10:22:40,24,12,63,24,A337,International,340,10,277,22
DEN,Denver International Airport,194,0,21,0,0,0,0,9,5,11,1,2024-05-20,4,2000 - 2100,2024-08-05 10:22:40,18,11,16,17,A337,International,226,8,210,18
DEN,Denver International Airport,48,0,67,19,0,0,0,19,4,8,1,2024-05-21,2,1000 - 1100,2024-08-05 10:22:40,35,19,76,35,A337,International,142,18,66,35
