AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
DFW,Dallas/Fort Worth Intl Airport,117,0,9,0,0,0,0,6,5,1,1,2024-05-08,12,0500 - 0600,2024-08-05 10:22:32,18,6,86,18,A557,Terminal D,127,5,41,18
DFW,Dallas/Fort Worth Intl Airport,197,0,178,75,65,0,0,22,10,23,2,2024-05-08,21,0700 - 0800,2024-08-05 10:22:32,59,26,402,59,A557,Terminal D,538,10,136,50
DFW,Dallas/Fort Worth Intl Airport,313,0,231,180,17,0,0,20,10,24,8,2024-05-08,41,0800 - 0900,2024-08-05 10:22:32,50,24,513,50,A557,Terminal D,765,12,252,50
DFW,Dallas/Fort Worth Intl Airport,125,0,104,80,0,0,0,20,9,10,1,2024-05-08,6,0900 - 1000,2024-08-05 10:22:32,43,23,231,43,A557,Terminal D,319,11,88,41
DFW,Dallas/Fort Worth Intl Airport,289,0,31,0,0,0,0,7,8,5,4,2024-05-08,38,1000 - 1100,2024-08-05 10:22:32,23,9,188,23,A557,Terminal D,325,4,137,17
DFW,Dallas/Fort Worth Intl Airport,285,0,100,61,21,9,0,17,7,15,2,2024-05-08,31,1100 - 1200,2024-08-05 10:22:32,69,23,278,69,A557,Terminal D,491,10,213,45
DFW,Dallas/Fort Worth Intl Airport,209,0,206,159,81,75,0,29,12,21,6,2024-05-08,90,1200 - 1300,2024-08-05 10:22:32,80,40,403,80,A557,Terminal D,751,17,348,80
DFW,Dallas/Fort Worth Intl Airport,581,0,240,0,0,0,0,9,14,18,5,2024-05-08,105,1300 - 1400,2024-08-05 10:22:32,25,9,309,24,A557,Terminal D,839,10,530,25
DFW,Dallas/Fort Worth Intl Airport,841,0,441,485,286,213,12,28,18,71,14,2024-05-08,296,1400 - 1500,2024-08-05 10:22:32,100,39,810,100,A557,Terminal D,2349,23,1539,89
DFW,Dallas/Fort Worth Intl Airport,264,0,290,285,98,405,55,43,18,43,9,2024-05-08,146,1500 - 1600,2024-08-05 10:22:32,109,64,725,109,A557,Terminal D,1440,23,715,97
