AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
HNL,Honolulu International Airport,102,0,23,0,0,0,0,8,5,3,1,2024-05-17,8,0200 - 0300,2024-08-05 10:22:40,23,10,96,23,A321,Main Overseas Terminal,128,2,32,13
HNL,Honolulu International Airport,263,0,9,0,0,0,0,5,15,9,1,2024-05-17,1,0500 - 0600,2024-08-05 10:22:40,18,7,57,18,A321,Main Overseas Terminal,281,4,224,18
HNL,Honolulu International Airport,133,0,20,0,0,0,0,9,13,5,1,2024-05-17,4,0700 - 0800,2024-08-05 10:22:40,18,11,101,18,A321,Main Overseas Terminal,158,6,57,16
HNL,Honolulu International Airport,457,0,410,23,0,0,0,14,27,20,4,2024-05-17,32,0800 - 0900,2024-08-05 10:22:40,33,16,766,33,A321,Main Overseas Terminal,910,5,144,26
HNL,Honolulu International Airport,358,0,605,267,19,2,0,22,26,35,6,2024-05-17,33,0900 - 1000,2024-08-05 10:22:40,72,24,1076,72,A321,Main Overseas Terminal,1286,14,210,42
HNL,Honolulu International Airport,176,0,512,432,214,21,0,30,28,38,7,2024-05-17,59,1000 - 1100,2024-08-05 10:22:40,68,32,1105,68,A321,Main Overseas Terminal,1393,23,288,68
HNL,Honolulu International Airport,357,0,0,0,0,0,0,3,24,8,2,2024-05-17,14,1100 - 1200,2024-08-05 10:22:40,14,4,235,14,A321,Main Overseas Terminal,365,0,130,7
HNL,Honolulu International Airport,209,0,20,0,0,0,0,8,22,9,1,2024-05-18,3,0600 - 0700,2024-08-05 10:22:40,18,9,214,18,A321,Main Overseas Terminal,238,5,24,13
HNL,Honolulu International Airport,689,0,78,0,0,0,0,6,33,21,3,2024-05-18,64,0800 - 0900,2024-08-05 10:22:40,24,9,496,24,A321,Main Overseas Terminal,788,2,292,11
HNL,Honolulu International Airport,837,0,295,107,106,7,0,16,33,47,7,2024-05-18,24,0900 - 1000,2024-08-05 10:22:40,62,17,1120,62,A321,Main Overseas Terminal,1399,12,279,42
HNL,Honolulu International Airport,359,0,515,102,0,0,0,18,34,28,5,2024-05-18,30,1000 - 1100,2024-08-05 10:22:40,41,19,860,41,A321,Main Overseas Terminal,1004,10,144,26
HNL,Honolulu International Airport,376,0,137,2,0,0,0,8,32,15,3,2024-05-18,39,1100 - 1200,2024-08-05 10:22:40,40,10,272,40,A321,Main Overseas Terminal,530,6,258,28
HNL,Honolulu International Airport,89,0,0,0,0,0,0,3,4,3,1,2024-05-18,23,2100 - 2200,2024-08-05 10:22:40,11,5,36,11,A321,Main Overseas Terminal,92,2,56,8
HNL,Honolulu International Airport,133,0,70,21,0,0,0,15,5,10,1,2024-05-19,24,0100 - 0200,2024-08-05 10:22:40,39,19,101,39,A321,Main Overseas Terminal,234,11,133,32
HNL,Honolulu International Airport,20,0,39,63,34,0,0,33,5,5,1,2024-05-19,1,0200 - 0300,2024-08-05 10:22:40,54,37,138,54,A321,Main Overseas Terminal,161,9,23,51
HNL,Honolulu International Airport,313,0,158,0,0,0,0,11,19,16,2,2024-05-19,12,0500 - 0600,2024-08-05 10:22:40,29,13,376,29,A321,Main Overseas Terminal,487,5,111,29
HNL,Honolulu International Airport,150,0,0,0,0,0,0,4,29,8,1,2024-05-19,5,0700 - 0800,2024-08-05 10:22:40,11,5,73,11,A321,Main Overseas Terminal,158,4,85,11
HNL,Honolulu International Airport,969,0,157,3,0,0,0,7,32,38,5,2024-05-19,97,0800 - 0900,2024-08-05 10:22:40,31,9,765,31,A321,Main Overseas Terminal,1167,1,402,27
HNL,Honolulu International Airport,1132,0,253,0,0,0,0,9,34,41,7,2024-05-19,80,0900 - 1000,2024-08-05 10:22:40,29,11,993,29,A321,Main Overseas Terminal,1426,4,433,20
HNL,Honolulu International Airport,1015,0,142,14,0,0,0,7,34,35,6,2024-05-19,45,1000 - 1100,2024-08-05 10:22:40,39,8,847,39,A321,Main Overseas Terminal,1206,4,359,39
HNL,Honolulu International Airport,108,0,34,0,0,0,0,12,27,5,1,2024-05-19,8,1100 - 1200,2024-08-05 10:22:40,20,13,101,20,A321,Main Overseas Terminal,147,10,46,17
HNL,Honolulu International Airport,79,0,56,13,0,0,0,13,4,5,1,2024-05-20,5,0200 - 0300,2024-08-05 10:22:40,35,16,112,35,A321,Main Overseas Terminal,153,6,41,27
HNL,Honolulu International Airport,208,0,112,35,0,0,0,14,12,12,2,2024-05-20,29,0500 - 0600,2024-08-05 10:22:40,35,19,226,35,A321,Main Overseas Terminal,367,6,141,22
HNL,Honolulu International Airport,318,0,176,9,0,0,0,11,22,13,2,2024-05-20,18,0800 - 0900,2024-08-05 10:22:40,31,14,390,31,A321,Main Overseas Terminal,516,2,126,31
HNL,Honolulu International Airport,661,0,654,150,7,0,0,17,23,48,8,2024-05-20,82,0900 - 1000,2024-08-05 10:22:40,48,19,1128,48,A321,Main Overseas Terminal,1520,10,392,33
HNL,Honolulu International Airport,194,0,416,375,114,19,0,28,22,30,6,2024-05-20,14,1000 - 1100,2024-08-05 10:22:40,73,32,947,73,A321,Main Overseas Terminal,1148,12,201,54
HNL,Honolulu International Airport,249,0,22,0,0,0,0,6,14,8,1,2024-05-21,0,0500 - 0600,2024-08-05 10:22:40,18,8,55,18,A321,Main Overseas Terminal,279,6,224,18
HNL,Honolulu International Airport,307,0,0,0,0,0,0,5,21,8,2,2024-05-21,27,0700 - 0800,2024-08-05 10:22:40,15,7,123,15,A321,Main Overseas Terminal,315,4,192,15
HNL,Honolulu International Airport,521,0,142,0,0,0,0,9,23,20,3,2024-05-21,31,0800 - 0900,2024-08-05 10:22:40,23,11,525,23,A321,Main Overseas Terminal,683,4,158,16
HNL,Honolulu International Airport,486,0,525,172,26,0,0,19,23,45,7,2024-05-21,63,0900 - 1000,2024-08-05 10:22:40,60,22,829,60,A321,Main Overseas Terminal,1254,14,425,49
HNL,Honolulu International Airport,265,0,283,255,27,0,0,23,22,22,6,2024-05-21,53,1000 - 1100,2024-08-05 10:22:40,48,28,622,48,A321,Main Overseas Terminal,852,11,230,45
HNL,Honolulu International Airport,174,0,0,0,0,0,0,6,16,6,1,2024-05-21,12,1100 - 1200,2024-08-05 10:22:40,15,7,132,15,A321,Main Overseas Terminal,180,2,48,11
HNL,Honolulu International Airport,9,0,5,0,0,0,0,12,2,0,1,2024-05-22,0,0100 - 0200,2024-08-05 10:22:49,19,8,2,16,A321,Main Overseas Terminal,14,13,12,19
HNL,Honolulu International Airport,79,0,48,22,0,0,0,15,4,3,1,2024-05-22,3,0200 - 0300,2024-08-05 10:22:49,39,18,120,39,A321,Main Overseas Terminal,152,3,32,23
HNL,Honolulu International Airport,175,0,40,0,0,0,0,9,16,6,1,2024-05-22,5,0600 - 0700,2024-08-05 10:22:49,22,10,187,22,A321,Main Overseas Terminal,221,3,34,10
