AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
LAX,Los Angeles International Airport,11,0,0,0,5,0,0,18,2,3,2,2024-05-17,0,1600 - 1700,2024-08-05 10:22:40,57,15,9,57,A27F,Atlantic Aviation GAF,19,21,10,55
LAX,Los Angeles International Airport,143,0,76,0,0,0,0,12,7,7,1,2024-05-17,0,1000 - 1100,2024-08-05 10:22:40,24,13,57,24,A278,Satellite 7,226,11,169,24
LAX,Los Angeles International Airport,307,0,77,0,0,0,0,10,9,7,2,2024-05-17,66,1200 - 1300,2024-08-05 10:22:40,26,15,106,26,A278,Satellite 7,391,8,285,26
LAX,Los Angeles International Airport,366,0,88,0,0,0,0,9,8,11,3,2024-05-17,87,1400 - 1500,2024-08-05 10:22:40,22,10,107,22,A278,Satellite 7,465,8,358,22
LAX,Los Angeles International Airport,86,0,41,0,0,0,0,12,9,4,1,2024-05-17,6,1500 - 1600,2024-08-05 10:22:40,29,17,53,29,A278,Satellite 7,131,9,78,26
LAX,Los Angeles International Airport,166,0,39,0,0,0,0,9,9,7,2,2024-05-17,32,1600 - 1700,2024-08-05 10:22:40,23,14,96,23,A278,Satellite 7,212,5,116,15
LAX,Los Angeles International Airport,262,0,23,0,0,0,0,8,9,6,2,2024-05-17,30,1700 - 1800,2024-08-05 10:22:40,20,9,54,19,A278,Satellite 7,291,7,237,20
LAX,Los Angeles International Airport,272,0,35,0,0,0,0,7,9,9,2,2024-05-17,48,1800 - 1900,2024-08-05 10:22:40,20,10,41,20,A278,Satellite 7,316,7,275,20
LAX,Los Angeles International Airport,139,0,269,404,22,0,0,28,32,23,4,2024-05-17,110,0500 - 0600,2024-08-05 10:22:40,50,30,428,50,A273,Tom Bradley International Terminal,857,27,429,48
LAX,Los Angeles International Airport,771,0,209,20,0,0,0,10,31,31,6,2024-05-17,130,0600 - 0700,2024-08-05 10:22:40,37,12,496,37,A273,Tom Bradley International Terminal,1031,9,535,37
LAX,Los Angeles International Airport,340,0,408,262,266,276,9,36,28,42,7,2024-05-17,92,0700 - 0800,2024-08-05 10:22:40,93,42,1173,93,A273,Tom Bradley International Terminal,1603,20,430,68
LAX,Los Angeles International Airport,198,0,76,61,57,0,0,21,25,12,2,2024-05-17,15,0800 - 0900,2024-08-05 10:22:40,52,26,250,52,A273,Tom Bradley International Terminal,404,14,154,49
LAX,Los Angeles International Airport,600,0,437,242,150,11,0,22,39,49,5,2024-05-17,73,0900 - 1000,2024-08-05 10:22:40,64,26,1012,64,A273,Tom Bradley International Terminal,1489,15,477,62
LAX,Los Angeles International Airport,295,0,204,135,21,0,0,19,29,23,3,2024-05-17,41,1000 - 1100,2024-08-05 10:22:40,58,23,486,58,A273,Tom Bradley International Terminal,678,9,192,54
LAX,Los Angeles International Airport,205,0,331,536,301,124,0,35,37,50,8,2024-05-17,121,1100 - 1200,2024-08-05 10:22:40,78,43,769,78,A273,Tom Bradley International Terminal,1547,27,778,74
LAX,Los Angeles International Airport,236,0,351,294,44,0,0,25,42,32,5,2024-05-17,86,1200 - 1300,2024-08-05 10:22:40,53,31,648,53,A273,Tom Bradley International Terminal,957,13,309,50
LAX,Los Angeles International Airport,916,0,709,465,225,88,0,24,37,76,11,2024-05-17,245,1300 - 1400,2024-08-05 10:22:40,82,32,1529,82,A273,Tom Bradley International Terminal,2479,12,950,51
LAX,Los Angeles International Airport,494,0,628,283,102,422,315,43,39,85,9,2024-05-17,247,1400 - 1500,2024-08-05 10:22:40,119,61,1339,119,A273,Tom Bradley International Terminal,2329,20,990,109
LAX,Los Angeles International Airport,294,0,671,229,78,184,343,43,41,55,8,2024-05-17,244,1500 - 1600,2024-08-05 10:22:40,117,71,858,117,A273,Tom Bradley International Terminal,1854,21,996,89
LAX,Los Angeles International Airport,152,0,296,236,160,312,21,42,39,38,6,2024-05-17,102,1600 - 1700,2024-08-05 10:22:40,100,56,653,100,A273,Tom Bradley International Terminal,1215,26,562,78
LAX,Los Angeles International Airport,379,0,531,294,268,420,162,42,34,60,9,2024-05-17,204,1700 - 1800,2024-08-05 10:22:40,114,60,1147,114,A273,Tom Bradley International Terminal,2114,22,967,106
LAX,Los Angeles International Airport,412,11,751,234,117,107,247,37,31,62,11,2024-05-17,220,1800 - 1900,2024-08-05 10:22:40,125,59,893,125,A273,Tom Bradley International Terminal,1941,19,1048,103
LAX,Los Angeles International Airport,304,495,306,282,227,133,305,68,35,64,9,2024-05-17,195,1900 - 2000,2024-08-05 10:22:40,153,101,1182,153,A273,Tom Bradley International Terminal,2116,29,934,143
LAX,Los Angeles International Airport,152,278,310,229,54,81,157,62,39,32,5,2024-05-17,125,2000 - 2100,2024-08-05 10:22:40,141,93,719,141,A273,Tom Bradley International Terminal,1293,25,574,118
LAX,Los Angeles International Airport,273,0,525,141,111,116,0,28,28,37,7,2024-05-17,203,2100 - 2200,2024-08-05 10:22:40,76,45,409,76,A273,Tom Bradley International Terminal,1203,20,794,68
LAX,Los Angeles International Airport,234,0,301,92,12,0,0,21,29,21,4,2024-05-17,15,2200 - 2300,2024-08-05 10:22:40,58,24,340,58,A273,Tom Bradley International Terminal,660,17,320,58
LAX,Los Angeles International Airport,295,0,513,206,65,0,0,23,26,29,7,2024-05-17,45,2300 - 0000,2024-08-05 10:22:40,60,27,680,60,A273,Tom Bradley International Terminal,1108,17,428,60
LAX,Los Angeles International Airport,15,0,0,0,0,0,0,2,1,1,1,2024-05-18,0,1500 - 1600,2024-08-05 10:22:40,6,4,2,4,A27F,Atlantic Aviation GAF,16,2,14,6
LAX,Los Angeles International Airport,123,0,77,34,16,0,0,18,7,9,1,2024-05-18,49,1000 - 1100,2024-08-05 10:22:40,48,25,66,48,A278,Satellite 7,259,16,193,48
