AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
MIA,Miami International Airport,308,0,38,0,0,0,0,7,11,9,2,2024-05-17,16,1400 - 1500,2024-08-05 10:22:40,24,6,231,24,A524,Central Terminal,355,8,124,17
MIA,Miami International Airport,274,0,109,108,65,26,0,22,10,24,2,2024-05-17,74,1500 - 1600,2024-08-05 10:22:40,69,30,386,69,A524,Central Terminal,606,8,220,60
MIA,Miami International Airport,137,0,101,181,50,0,0,26,10,10,2,2024-05-17,35,1600 - 1700,2024-08-05 10:22:40,60,31,378,60,A524,Central Terminal,479,6,101,35
MIA,Miami International Airport,343,0,301,169,29,62,168,36,22,44,4,2024-05-17,133,0400 - 0500,2024-08-05 10:22:40,115,41,816,115,A520,North Terminal,1116,22,300,75
MIA,Miami International Airport,144,0,249,90,38,0,0,23,23,19,3,2024-05-17,49,0500 - 0600,2024-08-05 10:22:40,56,28,365,56,A520,North Terminal,540,14,175,53
MIA,Miami International Airport,277,0,287,84,0,0,0,18,24,17,3,2024-05-17,72,0600 - 0700,2024-08-05 10:22:40,42,20,481,42,A520,North Terminal,665,11,184,36
MIA,Miami International Airport,53,0,86,59,1,0,0,23,19,8,3,2024-05-17,1,0800 - 0900,2024-08-05 10:22:40,47,24,184,47,A520,North Terminal,207,16,23,38
MIA,Miami International Airport,381,0,54,1,0,0,0,9,24,15,5,2024-05-17,45,0900 - 1000,2024-08-05 10:22:40,38,10,329,26,A520,North Terminal,451,6,122,38
MIA,Miami International Airport,579,0,429,144,93,59,0,21,27,43,9,2024-05-17,119,1000 - 1100,2024-08-05 10:22:40,88,25,941,88,A520,North Terminal,1347,13,406,84
MIA,Miami International Airport,233,0,441,164,364,218,0,36,27,47,10,2024-05-17,118,1100 - 1200,2024-08-05 10:22:40,82,47,919,82,A520,North Terminal,1467,19,548,71
MIA,Miami International Airport,182,1,54,0,0,0,34,22,25,9,4,2024-05-17,42,1200 - 1300,2024-08-05 10:22:40,122,12,95,122,A520,North Terminal,280,26,185,107
