AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),222,0,135,58,24,35,0,22,7,13,3,2024-05-17,56,1100 - 1200,2024-08-05 10:22:40,76,18,223,75,A354,Terminal 1  Lindbergh,487,25,264,76
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),129,22,73,79,57,198,155,60,7,20,3,2024-05-17,161,1200 - 1300,2024-08-05 10:22:40,122,57,155,121,A354,Terminal 1  Lindbergh,733,61,578,122
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),60,0,26,70,67,0,0,32,5,0,1,2024-05-17,39,1300 - 1400,2024-08-05 10:22:40,52,19,38,49,A354,Terminal 1  Lindbergh,223,35,185,52
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),149,0,115,0,0,0,0,14,6,12,1,2024-05-17,63,1500 - 1600,2024-08-05 10:22:40,29,18,61,29,A354,Terminal 1  Lindbergh,276,13,215,29
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),178,0,91,0,0,0,0,12,6,9,1,2024-05-17,76,1700 - 1800,2024-08-05 10:22:40,29,15,54,29,A354,Terminal 1  Lindbergh,278,11,224,29
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),167,0,237,187,47,0,0,25,6,25,3,2024-05-17,97,1800 - 1900,2024-08-05 10:22:40,59,36,145,59,A354,Terminal 1  Lindbergh,663,23,518,53
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),27,0,74,4,0,0,0,19,6,3,1,2024-05-17,13,1900 - 2000,2024-08-05 10:22:40,31,25,46,31,A354,Terminal 1  Lindbergh,108,14,62,31
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),68,0,46,32,43,45,0,35,4,11,1,2024-05-17,10,1700 - 1800,2024-08-05 10:22:40,80,35,126,80,A351,Terminal 2  Humphrey,245,36,119,80
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),14,0,0,0,42,68,0,56,5,3,1,2024-05-17,12,1800 - 1900,2024-08-05 10:22:40,76,62,25,74,A351,Terminal 2  Humphrey,127,55,102,76
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),56,0,10,0,0,0,0,9,2,1,1,2024-05-18,3,1000 - 1100,2024-08-05 10:22:40,18,10,32,18,A354,Terminal 1  Lindbergh,67,8,35,16
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),217,0,26,0,0,0,0,9,7,10,2,2024-05-18,54,1100 - 1200,2024-08-05 10:22:40,20,13,71,20,A354,Terminal 1  Lindbergh,253,7,182,16
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),287,0,198,33,17,0,0,16,8,18,2,2024-05-18,102,1200 - 1300,2024-08-05 10:22:40,50,28,114,50,A354,Terminal 1  Lindbergh,553,14,439,37
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),118,0,94,6,0,0,0,14,7,7,1,2024-05-18,49,1300 - 1400,2024-08-05 10:22:40,31,24,34,31,A354,Terminal 1  Lindbergh,225,12,191,24
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),160,0,98,3,0,0,0,13,6,8,1,2024-05-18,62,1500 - 1600,2024-08-05 10:22:40,31,20,51,31,A354,Terminal 1  Lindbergh,269,12,218,29
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),181,0,108,91,91,58,0,30,6,16,2,2024-05-18,98,1700 - 1800,2024-08-05 10:22:40,72,39,112,72,A354,Terminal 1  Lindbergh,545,27,433,68
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),58,0,45,2,0,0,0,15,5,4,1,2024-05-18,17,1800 - 1900,2024-08-05 10:22:40,31,17,48,31,A354,Terminal 1  Lindbergh,109,13,61,30
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),34,0,98,53,0,0,0,24,6,2,1,2024-05-18,11,1900 - 2000,2024-08-05 10:22:40,34,25,15,32,A354,Terminal 1  Lindbergh,187,24,172,34
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),129,0,56,0,0,0,0,12,3,1,1,2024-05-18,3,1600 - 1700,2024-08-05 10:22:40,26,14,14,24,A351,Terminal 2  Humphrey,186,12,172,26
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),83,0,61,4,0,0,0,14,2,5,1,2024-05-18,7,1800 - 1900,2024-08-05 10:22:40,31,15,14,31,A351,Terminal 2  Humphrey,153,14,139,31
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),157,0,132,116,85,64,1,32,9,17,3,2024-05-19,88,1100 - 1200,2024-08-05 10:22:40,92,41,166,92,A354,Terminal 1  Lindbergh,572,28,406,66
MSP,Minneapolis-St. Paul International Airport (Wold-Chamberlain Field),119,0,44,122,144,145,16,44,8,22,3,2024-05-19,107,1200 - 1300,2024-08-05 10:22:40,96,58,160,96,A354,Terminal 1  Lindbergh,612,40,452,74
