AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
RDU,Raleigh-Durham International Airport,115,0,52,0,0,0,0,10,3,9,1,2024-05-18,27,1200 - 1300,2024-08-05 10:22:40,21,11,39,21,A153,Terminal 2,176,10,137,21
RDU,Raleigh-Durham International Airport,119,0,3,0,0,0,0,7,3,6,1,2024-05-18,16,1300 - 1400,2024-08-05 10:22:40,20,8,10,12,A153,Terminal 2,128,7,118,20
RDU,Raleigh-Durham International Airport,110,0,88,41,0,0,0,17,3,13,1,2024-05-18,30,1500 - 1600,2024-08-05 10:22:40,39,25,71,39,A153,Terminal 2,252,14,181,33
RDU,Raleigh-Durham International Airport,134,0,19,0,0,0,0,8,3,7,1,2024-05-18,15,1900 - 2000,2024-08-05 10:22:40,18,10,24,18,A153,Terminal 2,160,7,136,18
RDU,Raleigh-Durham International Airport,87,0,99,22,0,0,0,17,3,8,2,2024-05-19,31,1200 - 1300,2024-08-05 10:22:40,34,17,74,34,A153,Terminal 2,216,17,142,34
RDU,Raleigh-Durham International Airport,91,0,45,0,0,0,0,11,3,7,1,2024-05-19,11,1900 - 2000,2024-08-05 10:22:40,24,13,41,24,A153,Terminal 2,143,10,102,24
RDU,Raleigh-Durham International Airport,108,0,63,0,0,0,0,11,4,6,1,2024-05-20,22,1300 - 1400,2024-08-05 10:22:40,24,12,64,24,A153,Terminal 2,177,11,113,24
RDU,Raleigh-Durham International Airport,117,0,95,29,0,0,0,16,4,11,1,2024-05-20,21,1500 - 1600,2024-08-05 10:22:40,38,21,101,38,A153,Terminal 2,252,12,151,38
RDU,Raleigh-Durham International Airport,111,0,13,0,0,0,0,7,4,4,1,2024-05-20,7,1900 - 2000,2024-08-05 10:22:40,20,13,38,20,A153,Terminal 2,128,5,90,11
RDU,Raleigh-Durham International Airport,92,0,52,0,0,0,0,12,3,3,1,2024-05-21,19,1200 - 1300,2024-08-05 10:22:40,24,11,38,23,A153,Terminal 2,147,13,109,24
RDU,Raleigh-Durham International Airport,108,0,0,0,0,0,0,3,3,2,1,2024-05-21,15,1900 - 2000,2024-08-05 10:22:40,10,5,8,9,A153,Terminal 2,110,3,102,10
RDU,Raleigh-Durham International Airport,98,0,80,0,0,0,0,13,3,4,1,2024-05-22,26,1200 - 1300,2024-08-05 10:22:49,26,13,41,26,A153,Terminal 2,182,13,141,26
RDU,Raleigh-Durham International Airport,68,0,3,0,0,0,0,7,2,3,1,2024-05-22,5,1300 - 1400,2024-08-05 10:22:49,16,10,19,16,A153,Terminal 2,74,5,55,16
RDU,Raleigh-Durham International Airport,111,0,64,37,0,0,0,16,3,10,1,2024-05-22,32,1500 - 1600,2024-08-05 10:22:49,37,21,59,37,A153,Terminal 2,222,14,163,37
RDU,Raleigh-Durham International Airport,91,0,41,0,0,0,0,11,2,5,1,2024-05-22,18,1900 - 2000,2024-08-05 10:22:49,24,10,20,23,A153,Terminal 2,137,11,117,24
RDU,Raleigh-Durham International Airport,126,0,9,0,0,0,0,7,3,3,1,2024-05-23,27,1200 - 1300,2024-08-05 10:22:49,16,7,26,15,A153,Terminal 2,138,7,112,16
RDU,Raleigh-Durham International Airport,20,0,0,0,0,0,0,0,3,0,1,2024-05-23,1,1300 - 1400,2024-08-05 10:22:49,0,0,7,0,A153,Terminal 2,20,0,13,0
RDU,Raleigh-Durham International Airport,142,0,25,0,0,0,0,8,3,8,1,2024-05-23,34,1500 - 1600,2024-08-05 10:22:49,19,12,52,19,A153,Terminal 2,175,7,123,18
RDU,Raleigh-Durham International Airport,103,0,0,0,0,0,0,5,2,3,1,2024-05-23,7,1900 - 2000,2024-08-05 10:22:49,14,3,8,7,A153,Terminal 2,106,5,98,14
RDU,Raleigh-Durham International Airport,158,0,26,0,0,0,0,7,3,5,1,2024-05-24,32,1300 - 1400,2024-08-05 10:22:49,20,12,50,20,A153,Terminal 2,189,5,139,17
RDU,Raleigh-Durham International Airport,149,0,47,0,0,0,0,10,3,7,1,2024-05-24,38,1500 - 1600,2024-08-05 10:22:49,26,17,62,26,A153,Terminal 2,203,6,141,25
RDU,Raleigh-Durham International Airport,102,0,0,0,0,0,0,4,3,3,1,2024-05-24,15,1900 - 2000,2024-08-05 10:22:49,13,4,30,13,A153,Terminal 2,105,4,75,13
RDU,Raleigh-Durham International Airport,166,0,170,11,0,0,0,14,3,11,2,2024-05-25,56,1300 - 1400,2024-08-05 10:22:49,38,17,64,38,A153,Terminal 2,358,14,294,32
RDU,Raleigh-Durham International Airport,107,0,96,40,0,0,0,18,3,7,1,2024-05-25,32,1600 - 1700,2024-08-05 10:22:49,37,26,56,37,A153,Terminal 2,250,16,194,35
RDU,Raleigh-Durham International Airport,143,0,12,0,0,0,0,6,3,4,1,2024-05-25,14,1900 - 2000,2024-08-05 10:22:49,16,9,11,15,A153,Terminal 2,159,6,148,16
RDU,Raleigh-Durham International Airport,95,0,96,4,0,0,0,14,3,6,2,2024-05-26,26,1300 - 1400,2024-08-05 10:22:49,32,10,37,32,A153,Terminal 2,201,15,164,32
RDU,Raleigh-Durham International Airport,106,0,39,0,0,0,0,11,3,6,1,2024-05-26,16,1900 - 2000,2024-08-05 10:22:49,23,10,19,22,A153,Terminal 2,151,11,132,23
RDU,Raleigh-Durham International Airport,122,0,59,0,0,0,0,11,3,9,1,2024-05-27,34,1300 - 1400,2024-08-05 10:22:49,26,12,34,26,A153,Terminal 2,190,11,156,26
RDU,Raleigh-Durham International Airport,118,0,99,25,0,0,0,16,4,9,1,2024-05-27,43,1600 - 1700,2024-08-05 10:22:49,34,17,59,34,A153,Terminal 2,251,16,192,34
RDU,Raleigh-Durham International Airport,104,0,44,0,0,0,0,10,3,7,1,2024-05-27,17,1900 - 2000,2024-08-05 10:22:49,21,9,13,20,A153,Terminal 2,155,10,142,21
RDU,Raleigh-Durham International Airport,96,0,52,0,0,0,0,11,3,8,1,2024-05-28,28,1300 - 1400,2024-08-05 10:22:49,24,14,39,24,A153,Terminal 2,156,11,117,21
RDU,Raleigh-Durham International Airport,124,0,24,0,0,0,0,9,3,5,1,2024-05-28,32,1900 - 2000,2024-08-05 10:22:49,18,8,23,18,A153,Terminal 2,153,9,130,18
RDU,Raleigh-Durham International Airport,239,0,9,0,0,0,0,7,4,15,2,2024-05-29,29,1300 - 1400,2024-08-05 10:22:59,22,8,43,22,A153,Terminal 2,263,7,220,20
RDU,Raleigh-Durham International Airport,142,0,0,0,0,0,0,6,4,7,1,2024-05-29,34,1600 - 1700,2024-08-05 10:22:59,15,9,38,15,A153,Terminal 2,149,5,111,12
RDU,Raleigh-Durham International Airport,142,0,0,0,0,0,0,3,4,5,1,2024-05-29,26,1900 - 2000,2024-08-05 10:22:59,9,3,23,8,A153,Terminal 2,147,3,124,9
RDU,Raleigh-Durham International Airport,117,0,8,0,0,0,0,8,4,1,1,2024-05-30,22,1200 - 1300,2024-08-05 10:22:59,16,9,29,16,A153,Terminal 2,126,7,97,16
RDU,Raleigh-Durham International Airport,12,0,0,0,0,0,0,6,2,1,1,2024-05-30,0,1300 - 1400,2024-08-05 10:22:59,11,2,2,4,A153,Terminal 2,13,7,11,11
RDU,Raleigh-Durham International Airport,148,0,30,0,0,0,0,8,4,5,1,2024-05-30,30,1600 - 1700,2024-08-05 10:22:59,21,12,50,21,A153,Terminal 2,183,6,133,21
RDU,Raleigh-Durham International Airport,124,0,7,0,0,0,0,7,3,3,1,2024-05-30,16,1900 - 2000,2024-08-05 10:22:59,16,6,12,16,A153,Terminal 2,134,7,122,16
RDU,Raleigh-Durham International Airport,110,0,31,0,0,0,0,11,4,4,1,2024-05-31,26,1200 - 1300,2024-08-05 10:22:59,19,13,36,19,A153,Terminal 2,145,10,109,19
RDU,Raleigh-Durham International Airport,159,0,81,7,0,0,0,11,3,7,1,2024-05-31,44,1600 - 1700,2024-08-05 10:22:59,32,20,61,32,A153,Terminal 2,254,9,193,24
RDU,Raleigh-Durham International Airport,142,0,9,0,0,0,0,7,3,5,1,2024-05-31,15,1900 - 2000,2024-08-05 10:22:59,16,7,19,16,A153,Terminal 2,156,7,137,16
RDU,Raleigh-Durham International Airport,135,0,3,0,0,0,0,3,4,4,1,2024-06-01,13,1300 - 1400,2024-08-05 10:22:59,16,3,15,10,A153,Terminal 2,142,3,127,16
RDU,Raleigh-Durham International Airport,155,0,20,0,0,0,0,8,4,5,1,2024-06-01,25,1400 - 1500,2024-08-05 10:22:59,23,11,62,23,A153,Terminal 2,180,6,118,22
RDU,Raleigh-Durham International Airport,173,0,99,0,0,0,0,11,4,7,1,2024-06-01,49,1500 - 1600,2024-08-05 10:22:59,26,15,66,26,A153,Terminal 2,279,10,213,25
RDU,Raleigh-Durham International Airport,134,0,69,0,0,0,0,11,4,11,1,2024-06-02,49,1200 - 1300,2024-08-05 10:22:59,22,12,52,22,A153,Terminal 2,214,11,162,22
RDU,Raleigh-Durham International Airport,128,0,39,0,0,0,0,9,3,6,1,2024-06-02,19,1900 - 2000,2024-08-05 10:22:59,20,12,16,20,A153,Terminal 2,173,9,157,20
RDU,Raleigh-Durham International Airport,113,0,79,53,7,0,0,19,3,8,1,2024-06-03,34,1200 - 1300,2024-08-05 10:22:59,46,25,139,46,A153,Terminal 2,260,12,121,27
RDU,Raleigh-Durham International Airport,0,0,83,96,81,29,0,41,3,5,1,2024-06-03,49,1500 - 1600,2024-08-05 10:22:59,69,47,130,69,A153,Terminal 2,294,36,164,57
RDU,Raleigh-Durham International Airport,87,0,58,6,0,0,0,14,2,5,1,2024-06-03,27,1900 - 2000,2024-08-05 10:22:59,31,17,32,29,A153,Terminal 2,156,13,124,31
