AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
SAN,San Diego International Airport,39,0,68,0,0,0,0,14,5,2,1,2024-05-18,19,1200 - 1300,2024-08-05 10:22:40,22,12,4,19,A251,Main,109,14,105,22
SAN,San Diego International Airport,106,0,246,120,90,2,0,27,10,20,3,2024-05-18,79,1500 - 1600,2024-08-05 10:22:40,62,31,306,62,A251,Main,584,22,278,59
SAN,San Diego International Airport,142,0,90,99,30,0,0,23,6,12,2,2024-05-18,78,1800 - 1900,2024-08-05 10:22:40,57,32,97,57,A251,Main,373,20,276,53
SAN,San Diego International Airport,80,0,65,0,0,0,0,13,4,4,1,2024-05-18,33,2000 - 2100,2024-08-05 10:22:40,22,16,13,22,A251,Main,149,13,136,22
SAN,San Diego International Airport,47,0,68,51,0,0,0,22,6,2,1,2024-05-19,23,1100 - 1200,2024-08-05 10:22:40,38,21,87,38,A251,Main,168,23,81,38
SAN,San Diego International Airport,103,0,28,7,0,0,0,11,5,2,1,2024-05-19,23,1400 - 1500,2024-08-05 10:22:40,34,8,2,16,A251,Main,140,11,138,34
SAN,San Diego International Airport,154,0,145,124,57,0,0,25,8,14,2,2024-05-19,87,1500 - 1600,2024-08-05 10:22:40,59,31,252,59,A251,Main,494,19,242,40
SAN,San Diego International Airport,66,0,83,17,0,0,0,16,5,9,1,2024-05-19,41,1700 - 1800,2024-08-05 10:22:40,35,20,4,22,A251,Main,175,16,171,35
SAN,San Diego International Airport,55,0,74,16,0,0,0,18,5,5,1,2024-05-19,33,1800 - 1900,2024-08-05 10:22:40,33,20,41,33,A251,Main,150,17,109,32
SAN,San Diego International Airport,5,0,0,0,0,0,0,0,1,1,1,2024-05-20,0,1100 - 1200,2024-08-05 10:22:40,1,0,1,0,A251,Main,6,0,5,1
