AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
SPN,Saipan International Airport (Francisco C. Ada),40,0,32,35,41,6,0,31,5,1,1,2024-05-18,0,0200 - 0300,2024-08-05 10:22:40,61,32,148,61,A328,International Arrivals,155,20,7,60
SPN,Saipan International Airport (Francisco C. Ada),73,0,44,53,0,0,0,20,5,4,1,2024-05-18,0,0300 - 0400,2024-08-05 10:22:40,43,20,174,43,A328,International Arrivals,174,0,0,0
SPN,Saipan International Airport (Francisco C. Ada),69,0,63,30,0,0,0,18,5,4,1,2024-05-18,0,1400 - 1500,2024-08-05 10:22:40,38,18,163,38,A328,International Arrivals,166,1,3,2
SPN,Saipan International Airport (Francisco C. Ada),121,0,73,6,0,0,0,13,8,10,2,2024-05-19,0,0200 - 0300,2024-08-05 10:22:40,32,13,208,32,A328,International Arrivals,210,0,2,0
SPN,Saipan International Airport (Francisco C. Ada),60,0,79,28,0,0,0,19,5,8,1,2024-05-19,0,0300 - 0400,2024-08-05 10:22:40,36,19,173,36,A328,International Arrivals,175,10,2,10
SPN,Saipan International Airport (Francisco C. Ada),93,0,71,0,0,0,0,13,6,3,1,2024-05-19,0,1500 - 1600,2024-08-05 10:22:40,27,13,160,27,A328,International Arrivals,167,1,7,4
SPN,Saipan International Airport (Francisco C. Ada),94,0,10,0,0,0,0,5,4,3,1,2024-05-19,0,2200 - 2300,2024-08-05 10:22:40,21,9,45,21,A328,International Arrivals,107,3,62,9
SPN,Saipan International Airport (Francisco C. Ada),96,0,67,0,0,0,0,12,7,6,1,2024-05-20,0,0100 - 0200,2024-08-05 10:22:40,25,13,167,25,A328,International Arrivals,169,0,2,1
SPN,Saipan International Airport (Francisco C. Ada),38,0,20,0,0,0,0,11,7,3,1,2024-05-20,0,0200 - 0300,2024-08-05 10:22:40,26,11,57,26,A328,International Arrivals,61,0,4,0
SPN,Saipan International Airport (Francisco C. Ada),82,0,62,0,0,0,0,13,6,7,1,2024-05-20,0,0300 - 0400,2024-08-05 10:22:40,27,14,146,27,A328,International Arrivals,151,3,5,4
