AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
TPA,Tampa International Airport,31,0,2,0,0,0,0,6,4,2,1,2024-05-17,0,1000 - 1100,2024-08-05 10:22:40,17,6,33,17,A181,Main,35,5,2,11
TPA,Tampa International Airport,145,0,73,14,0,0,0,12,6,7,2,2024-05-17,24,1300 - 1400,2024-08-05 10:22:40,32,16,157,32,A181,Main,239,3,82,19
TPA,Tampa International Airport,23,0,0,0,0,0,0,4,5,1,1,2024-05-17,0,1400 - 1500,2024-08-05 10:22:40,9,5,19,9,A181,Main,24,4,5,6
TPA,Tampa International Airport,138,0,148,129,12,181,44,43,6,18,4,2024-05-17,51,1600 - 1700,2024-08-05 10:22:40,101,62,349,101,A181,Main,670,23,321,90
TPA,Tampa International Airport,102,0,74,67,0,0,0,20,7,9,1,2024-05-17,25,1700 - 1800,2024-08-05 10:22:40,43,28,149,43,A181,Main,252,9,103,19
TPA,Tampa International Airport,189,0,67,97,24,0,0,20,5,17,2,2024-05-17,29,1900 - 2000,2024-08-05 10:22:40,51,27,227,51,A181,Main,394,10,167,48
TPA,Tampa International Airport,33,0,0,0,0,0,0,2,4,2,1,2024-05-17,9,2000 - 2100,2024-08-05 10:22:40,4,3,6,4,A181,Main,35,1,29,4
TPA,Tampa International Airport,25,0,0,0,0,0,0,2,2,1,1,2024-05-18,0,1100 - 1200,2024-08-05 10:22:40,6,2,3,3,A181,Main,26,2,23,6
TPA,Tampa International Airport,60,0,35,12,0,0,0,13,4,3,1,2024-05-18,0,1200 - 1300,2024-08-05 10:22:40,33,17,87,33,A181,Main,110,1,23,18
TPA,Tampa International Airport,99,0,0,0,0,0,0,7,5,5,1,2024-05-18,15,1400 - 1500,2024-08-05 10:22:40,14,7,29,14,A181,Main,104,7,75,14
TPA,Tampa International Airport,195,0,28,80,47,57,6,29,5,11,3,2024-05-18,26,1500 - 1600,2024-08-05 10:22:40,91,44,254,91,A181,Main,424,6,170,51
TPA,Tampa International Airport,117,0,127,42,101,68,0,33,5,15,2,2024-05-18,43,1600 - 1700,2024-08-05 10:22:40,71,46,267,71,A181,Main,470,16,203,44
TPA,Tampa International Airport,135,0,87,85,59,0,0,24,5,10,2,2024-05-18,18,1900 - 2000,2024-08-05 10:22:40,54,30,232,54,A181,Main,376,16,144,39
TPA,Tampa International Airport,36,0,41,42,24,2,0,28,3,9,1,2024-05-19,0,0900 - 1000,2024-08-05 10:22:40,61,35,106,61,A181,Main,154,13,48,57
TPA,Tampa International Airport,107,0,0,0,0,0,0,1,9,2,1,2024-05-19,15,1300 - 1400,2024-08-05 10:22:40,8,3,48,8,A181,Main,109,0,61,5
TPA,Tampa International Airport,229,0,0,0,0,0,0,5,9,8,2,2024-05-19,24,1400 - 1500,2024-08-05 10:22:40,12,3,31,11,A181,Main,237,5,206,12
TPA,Tampa International Airport,184,0,36,0,0,0,0,7,9,11,2,2024-05-19,23,1600 - 1700,2024-08-05 10:22:40,22,10,91,22,A181,Main,231,5,140,20
